section,female,male,period
0-9,"{'amount': 1, 'percentage': 0.6}","{'amount': 0, 'percentage': 0}",חודש אחרון
0-9,"{'amount': 21, 'percentage': 0.1}","{'amount': 25, 'percentage': 0.1}",מתחילת קורונה
0-9,"{'amount': 10, 'percentage': 0.3}","{'amount': 5, 'percentage': 0.1}",3 חודשים
0-9,"{'amount': 21, 'percentage': 0.1}","{'amount': 23, 'percentage': 0.1}",שנה
0-9,"{'amount': 15, 'percentage': 0.2}","{'amount': 13, 'percentage': 0.1}",6 חודשים
10-19,"{'amount': 27, 'percentage': 0.3}","{'amount': 18, 'percentage': 0.2}",6 חודשים
10-19,"{'amount': 44, 'percentage': 0.3}","{'amount': 27, 'percentage': 0.2}",שנה
10-19,"{'amount': 14, 'percentage': 0.4}","{'amount': 9, 'percentage': 0.3}",3 חודשים
10-19,"{'amount': 2, 'percentage': 1.1}","{'amount': 0, 'percentage': 0}",חודש אחרון
10-19,"{'amount': 45, 'percentage': 0.3}","{'amount': 29, 'percentage': 0.2}",מתחילת קורונה
20-29,"{'amount': 153, 'percentage': 0.9}","{'amount': 144, 'percentage': 0.9}",שנה
20-29,"{'amount': 101, 'percentage': 1}","{'amount': 106, 'percentage': 1.1}",6 חודשים
20-29,"{'amount': 62, 'percentage': 1.8}","{'amount': 61, 'percentage': 1.8}",3 חודשים
20-29,"{'amount': 156, 'percentage': 0.9}","{'amount': 145, 'percentage': 0.9}",מתחילת קורונה
20-29,"{'amount': 2, 'percentage': 1.1}","{'amount': 2, 'percentage': 1.1}",חודש אחרון
30-39,"{'amount': 238, 'percentage': 2.4}","{'amount': 268, 'percentage': 2.7}",6 חודשים
30-39,"{'amount': 10, 'percentage': 5.6}","{'amount': 1, 'percentage': 0.6}",חודש אחרון
30-39,"{'amount': 129, 'percentage': 3.8}","{'amount': 138, 'percentage': 4.1}",3 חודשים
30-39,"{'amount': 344, 'percentage': 2.1}","{'amount': 420, 'percentage': 2.5}",מתחילת קורונה
30-39,"{'amount': 340, 'percentage': 2.1}","{'amount': 411, 'percentage': 2.5}",שנה
40-49,"{'amount': 570, 'percentage': 3.5}","{'amount': 926, 'percentage': 5.7}",שנה
40-49,"{'amount': 392, 'percentage': 4}","{'amount': 603, 'percentage': 6.1}",6 חודשים
40-49,"{'amount': 578, 'percentage': 3.4}","{'amount': 940, 'percentage': 5.6}",מתחילת קורונה
40-49,"{'amount': 3, 'percentage': 1.7}","{'amount': 13, 'percentage': 7.3}",חודש אחרון
40-49,"{'amount': 189, 'percentage': 5.6}","{'amount': 261, 'percentage': 7.7}",3 חודשים
50-59,"{'amount': 14, 'percentage': 7.8}","{'amount': 9, 'percentage': 5}",חודש אחרון
50-59,"{'amount': 604, 'percentage': 6.1}","{'amount': 915, 'percentage': 9.3}",6 חודשים
50-59,"{'amount': 969, 'percentage': 5.9}","{'amount': 1488, 'percentage': 9.1}",שנה
50-59,"{'amount': 273, 'percentage': 8.1}","{'amount': 330, 'percentage': 9.7}",3 חודשים
50-59,"{'amount': 976, 'percentage': 5.8}","{'amount': 1530, 'percentage': 9.1}",מתחילת קורונה
60-69,"{'amount': 25, 'percentage': 14}","{'amount': 10, 'percentage': 5.6}",חודש אחרון
60-69,"{'amount': 305, 'percentage': 9}","{'amount': 326, 'percentage': 9.6}",3 חודשים
60-69,"{'amount': 776, 'percentage': 7.9}","{'amount': 1120, 'percentage': 11.3}",6 חודשים
60-69,"{'amount': 1281, 'percentage': 7.8}","{'amount': 2052, 'percentage': 12.6}",שנה
60-69,"{'amount': 1299, 'percentage': 7.7}","{'amount': 2107, 'percentage': 12.6}",מתחילת קורונה
70-79,"{'amount': 305, 'percentage': 9}","{'amount': 317, 'percentage': 9.3}",3 חודשים
70-79,"{'amount': 21, 'percentage': 11.7}","{'amount': 21, 'percentage': 11.7}",חודש אחרון
70-79,"{'amount': 1505, 'percentage': 9.2}","{'amount': 2132, 'percentage': 13.1}",שנה
70-79,"{'amount': 939, 'percentage': 9.5}","{'amount': 1202, 'percentage': 12.2}",6 חודשים
70-79,"{'amount': 1536, 'percentage': 9.2}","{'amount': 2208, 'percentage': 13.2}",מתחילת קורונה
80-89,"{'amount': 11, 'percentage': 6.1}","{'amount': 21, 'percentage': 11.7}",חודש אחרון
80-89,"{'amount': 291, 'percentage': 8.6}","{'amount': 225, 'percentage': 6.6}",3 חודשים
80-89,"{'amount': 946, 'percentage': 9.6}","{'amount': 882, 'percentage': 8.9}",6 חודשים
80-89,"{'amount': 1544, 'percentage': 9.5}","{'amount': 1512, 'percentage': 9.3}",שנה
80-89,"{'amount': 1594, 'percentage': 9.5}","{'amount': 1559, 'percentage': 9.3}",מתחילת קורונה
90+,"{'amount': 717, 'percentage': 4.4}","{'amount': 478, 'percentage': 2.9}",שנה
90+,"{'amount': 404, 'percentage': 4.1}","{'amount': 301, 'percentage': 3}",6 חודשים
90+,"{'amount': 84, 'percentage': 2.5}","{'amount': 57, 'percentage': 1.7}",3 חודשים
90+,"{'amount': 10, 'percentage': 5.6}","{'amount': 3, 'percentage': 1.7}",חודש אחרון
90+,"{'amount': 749, 'percentage': 4.5}","{'amount': 503, 'percentage': 3}",מתחילת קורונה
