age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,348533,315754,1538337,22.7,20.5
20-29,1003508,922429,1300361,77.2,70.9
30-39,971660,908868,1197026,81.2,75.9
40-49,932957,878791,1098556,84.9,80
50-59,760286,717463,849966,89.4,84.4
60-69,669730,640819,741639,90.3,86.4
70-79,484009,468765,490784,98.6,95.5
80-89,216805,209863,225538,96.1,93
90+,51339,48955,51496,99.7,95.1
