cityDesc,activeSickKids,activeSickKidsPerc,totalActiveSick,activeSickNormalized,cityScore,cityColour,totalPopulation
Abu Ghosh,קטן מ-15,אין מידע,64,81.40,7.22,כתום,7862
Abu Juwei'id,קטן מ-15,אין מידע,42,90.34,9.76,אדום,4649
Abu Sinan,15,11.03,136,95.07,8.48,אדום,14306
Afula,42,7.98,526,92.53,9.65,אדום,56844
Ahuzzat Baraq,קטן מ-15,אין מידע,21,87.57,9.85,אדום,2398
Akko,35,10.51,333,67.25,7.95,אדום,49517
Alfe Menashe,קטן מ-15,אין מידע,50,62.41,9.96,אדום,8011
Allon Shevut,קטן מ-15,אין מידע,17,54.64,7.56,אדום,3111
Ar'ara,קטן מ-15,אין מידע,51,19.98,8.02,אדום,25525
Arad,קטן מ-15,אין מידע,190,69.93,9.69,אדום,27170
Ari'el,קטן מ-15,אין מידע,100,48.81,8.25,אדום,20488
Arrabe,קטן מ-15,אין מידע,72,27.40,8.26,אדום,26274
Ashdod,112,8.20,1366,60.35,9.22,אדום,226329
Ashqelon,214,14.26,1501,102.50,9.43,אדום,146442
Atlit,קטן מ-15,אין מידע,49,50.43,9.47,אדום,9716
Azor,18,16.98,106,80.13,8.62,אדום,13228
Baqa Al-Gharbiyye,18,16.67,108,35.47,9,אדום,30448
Basma,קטן מ-15,אין מידע,40,39.02,6.51,כתום,10252
Basmat Tab'un,קטן מ-15,אין מידע,26,32.50,4.96,צהוב,8001
Bat Hefer,קטן מ-15,אין מידע,36,68.21,9.98,אדום,5278
Bat Yam,105,8.85,1186,92.82,9.32,אדום,127772
Be'er Sheva,248,12.52,1981,94.05,8.67,אדום,210624
Be'er Ya'aqov,43,29.05,148,51.36,9.89,אדום,28818
Beit Jann,קטן מ-15,אין מידע,21,17.26,7.34,כתום,12169
Bene Ayish,קטן מ-15,אין מידע,33,47.81,9.09,אדום,6902
Bene Beraq,50,11.06,452,21.73,6.39,כתום,208031
Bet Arye,קטן מ-15,אין מידע,32,59.90,9.85,אדום,5342
Bet Dagan,קטן מ-15,אין מידע,43,58.92,9.24,אדום,7298
Bet She'an,קטן מ-15,אין מידע,204,107.48,8.29,אדום,18980
Bet Shemesh,27,12.00,225,17.02,8.07,אדום,132210
Bet Yizhaq-Sh. Hefer,קטן מ-15,אין מידע,20,93.28,8.19,אדום,2144
Betar Illit,קטן מ-15,אין מידע,17,2.77,6.13,כתום,61297
Bi'ne,קטן מ-15,אין מידע,20,23.75,9.13,אדום,8421
Binyamina-Giv'at Ada,קטן מ-15,אין מידע,82,51.34,9.87,אדום,15971
Bir El-Maksur,קטן מ-15,אין מידע,16,16.45,6.42,כתום,9729
Daburiyya,קטן מ-15,אין מידע,40,37.45,7.84,אדום,10682
Daliyat Al-Karmel,קטן מ-15,אין מידע,32,17.92,9.06,אדום,17862
Deir Al-Asad,קטן מ-15,אין מידע,38,29.90,6.44,כתום,12710
Deir Hanna,קטן מ-15,אין מידע,71,67.88,9.15,אדום,10459
Dimona,32,12.26,261,74.67,7.44,כתום,34954
Efrat,קטן מ-15,אין מידע,19,16.64,9.17,אדום,11420
Eilabun,קטן מ-15,אין מידע,35,60.54,6.99,כתום,5781
Ein Mahel,קטן מ-15,אין מידע,29,21.41,5.38,צהוב,13545
El'ad,קטן מ-15,אין מידע,65,13.22,7.3,כתום,49179
Elat,40,15.09,265,50.47,9,אדום,52507
Elqana,קטן מ-15,אין מידע,19,47.99,8.78,אדום,3959
Elyakhin,קטן מ-15,אין מידע,22,63.47,8.59,אדום,3466
Even Yehuda,קטן מ-15,אין מידע,135,96.18,8.13,אדום,14036
Fureidis,0,0,20,14.88,7.98,אדום,13439
Gan Ner,0,0,19,70.37,8.92,אדום,2700
Gan Yavne,33,24.26,136,56.93,10,אדום,23887
Ganne Tiqwa,28,13.86,202,93.92,8.67,אדום,21508
Gedera,25,12.82,195,67.70,7.66,אדום,28805
