instituteDesc,occupancy,gOccupancy,occupancyDate
יוספטל,37.5,32.3,2022-01-30T00:00:00.000Z
פוריה,47.4,65.4,2022-01-30T00:00:00.000Z
הכרמל,51.9,74,2022-01-30T00:00:00.000Z
וולפסון,56.6,76.3,2022-01-30T00:00:00.000Z
רבין ק. השרון,59.6,62.7,2022-01-30T00:00:00.000Z
סורוקה,59.3,70.1,2022-01-30T00:00:00.000Z
הדסה הר הצופים,61.1,78.8,2022-01-30T00:00:00.000Z
בני ציון,63.6,73.7,2022-01-30T00:00:00.000Z
מאיר,67,90.1,2022-01-30T00:00:00.000Z
שערי צדק,72,100.7,2022-01-30T00:00:00.000Z
שמיר,72.2,72.6,2022-01-30T00:00:00.000Z
"רמב""ם",74.7,78.2,2022-01-30T00:00:00.000Z
המרכזי בעמק,74.2,69.7,2022-01-30T00:00:00.000Z
רבין ק. בילינסון,75.8,84.9,2022-01-30T00:00:00.000Z
ברזילי,77.6,72.7,2022-01-30T00:00:00.000Z
קפלן,78.7,97.7,2022-01-30T00:00:00.000Z
נהריה,79.5,80,2022-01-30T00:00:00.000Z
לניאדו,91,90,2022-01-30T00:00:00.000Z
אסותא אשדוד,91.5,95.6,2022-01-30T00:00:00.000Z
זיו צפת,96.9,72.6,2022-01-30T00:00:00.000Z
הדסה עין כרם,101.9,91.5,2022-01-30T00:00:00.000Z
