period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,7265,670,9.22
3_Month,0-9,35865,9126,25.45
6_Month,0-9,210543,53879,25.59
1_Year,0-9,1274061,544739,42.76
All,0-9,1712772,766417,44.75
1_Month,10-19,10737,1171,10.91
3_Month,10-19,41741,8757,20.98
6_Month,10-19,221964,52862,23.82
1_Year,10-19,1195747,580038,48.51
All,10-19,1630011,807834,49.56
1_Month,20-29,15578,1746,11.21
3_Month,20-29,59556,13311,22.35
6_Month,20-29,299793,64694,21.58
1_Year,20-29,1070520,425786,39.77
All,20-29,1472859,603380,40.97
1_Month,30-39,15006,2210,14.73
3_Month,30-39,61433,16362,26.63
6_Month,30-39,299220,81207,27.14
1_Year,30-39,1036310,469604,45.32
All,30-39,1372158,611853,44.59
1_Month,40-49,15906,2454,15.43
3_Month,40-49,60622,16810,27.73
6_Month,40-49,286056,82587,28.87
1_Year,40-49,942619,439275,46.6
All,40-49,1219044,555715,45.59
1_Month,50-59,16557,2868,17.32
3_Month,50-59,58989,17152,29.08
6_Month,50-59,259916,78445,30.18
1_Year,50-59,742142,316167,42.6
All,50-59,954494,396124,41.5
1_Month,60-69,19026,3861,20.29
3_Month,60-69,66359,20448,30.81
6_Month,60-69,252421,85928,34.04
1_Year,60-69,623018,248972,39.96
All,60-69,788052,301423,38.25
1_Month,70-79,20611,4507,21.87
3_Month,70-79,65151,20526,31.51
6_Month,70-79,198386,77830,39.23
1_Year,70-79,410460,166045,40.45
All,70-79,513002,194206,37.86
1_Month,80-89,15823,2051,12.96
3_Month,80-89,39616,9804,24.75
6_Month,80-89,86897,33360,38.39
1_Year,80-89,159631,66857,41.88
All,80-89,218740,81467,37.24
1_Month,90+,5467,486,8.89
3_Month,90+,12586,2605,20.7
6_Month,90+,22823,8157,35.74
1_Year,90+,37995,16550,43.56
All,90+,57054,21116,37.01
