dayDate,newHospitalized,countHospitalized,countHospitalizedWithoutRelease,countHardStatus,countMediumStatus,countEasyStatus,countBreath,countDeath,numVisits,patientsHome,patientsHotel,countBreathCum,countDeathCum,countCriticalStatus,countSeriousCriticalCum,seriousCriticalNew,countEcmo,countDeadAvg7days,mediumNew,easyNew
2020-03-02T00:00:00.000Z,3,10,10,0,0,10,0,0,5429,,,0,0,0,0,0,,,0,3
2020-03-03T00:00:00.000Z,0,11,10,0,0,10,0,0,7589,,,0,0,0,0,0,,0,0,1
2020-03-04T00:00:00.000Z,3,12,11,0,0,12,0,0,6755,,,0,0,0,0,0,,0,0,3
2020-03-05T00:00:00.000Z,2,13,13,1,0,12,0,0,6836,,,0,0,0,1,1,0,0,0,1
2020-03-06T00:00:00.000Z,3,16,16,2,0,14,1,0,4978,,,1,0,0,2,1,0,0,0,3
2020-03-07T00:00:00.000Z,3,19,19,3,0,16,2,0,4682,,,2,0,0,3,1,0,0,0,2
2020-03-08T00:00:00.000Z,8,27,27,5,0,21,4,0,7075,,,4,0,0,5,2,,0,0,5
2020-03-09T00:00:00.000Z,16,43,43,5,0,35,4,0,6009,,,4,0,0,5,0,0,0,0,14
2020-03-10T00:00:00.000Z,19,63,63,6,0,55,5,0,5803,,,5,0,0,6,1,0,0,0,21
2020-03-11T00:00:00.000Z,25,87,86,7,1,76,6,0,5719,,,6,0,0,7,1,0,0,1,21
2020-03-12T00:00:00.000Z,23,110,107,7,1,99,6,0,5769,,,6,0,0,7,0,0,0,0,24
2020-03-13T00:00:00.000Z,23,129,128,7,5,114,6,0,3985,,,6,0,0,7,0,0,0,4,19
2020-03-14T00:00:00.000Z,40,169,167,6,5,155,4,0,3550,,,6,0,0,8,1,0,0,0,42
2020-03-15T00:00:00.000Z,41,208,206,9,7,189,6,0,5336,,,8,0,0,11,3,0,0,3,36
2020-03-16T00:00:00.000Z,24,230,222,11,6,207,7,0,4620,,,9,0,0,13,2,0,0,0,22
2020-03-17T00:00:00.000Z,48,272,269,12,7,243,7,0,4223,,,9,0,0,14,1,0,0,1,46
2020-03-18T00:00:00.000Z,53,323,284,16,12,287,7,0,3764,,,9,0,0,18,4,0,0,5,46
2020-03-19T00:00:00.000Z,30,313,277,21,12,270,12,0,3927,,,14,0,0,23,5,0,0,1,24
2020-03-20T00:00:00.000Z,30,307,263,23,15,258,12,1,3096,,,14,1,0,26,3,0,0,3,24
2020-03-21T00:00:00.000Z,34,298,290,27,22,238,15,0,2791,,,17,1,0,30,4,0,0,7,24
2020-03-22T00:00:00.000Z,54,344,323,38,33,265,22,0,4359,,,24,1,0,41,11,0,0,12,33
2020-03-23T00:00:00.000Z,58,380,341,44,37,285,24,0,3905,,,28,1,0,48,7,0,0,6,48
2020-03-24T00:00:00.000Z,81,424,363,48,49,314,26,3,3835,,,30,4,0,55,7,0,0,12,68
2020-03-25T00:00:00.000Z,81,443,420,52,54,325,28,1,3533,,,33,5,0,60,5,0,0,7,70
2020-03-26T00:00:00.000Z,81,501,440,56,67,364,31,5,3789,,,39,10,0,69,10,0,0,16,67
2020-03-27T00:00:00.000Z,110,546,491,66,71,398,37,2,3129,,,46,12,0,82,13,0,1,10,92
2020-03-28T00:00:00.000Z,52,542,506,70,83,378,41,1,2721,,,51,13,0,87,5,0,1,15,36
2020-03-29T00:00:00.000Z,69,575,537,80,89,392,50,3,4118,,,62,16,0,101,14,0,1,18,54
2020-03-30T00:00:00.000Z,122,657,597,90,106,441,55,1,3750,,,70,17,0,113,13,0,2,30,100
2020-03-31T00:00:00.000Z,109,705,651,99,117,470,64,4,3849,,,81,21,0,128,15,0,2,36,97
