period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,125475,37056,29.53
3_Month,0-9,1048606,456347,43.52
6_Month,0-9,1241399,501649,40.41
1_Year,0-9,1485048,613978,41.34
All,0-9,1682323,721800,42.9
1_Month,10-19,130086,36681,28.2
3_Month,10-19,907748,471883,51.98
6_Month,10-19,1147055,537228,46.84
1_Year,10-19,1375092,620332,45.11
All,10-19,1595322,765536,47.99
1_Month,20-29,171503,42556,24.81
3_Month,20-29,749205,322014,42.98
6_Month,20-29,972837,365401,37.56
1_Year,20-29,1186802,425297,35.84
All,20-29,1407867,547512,38.89
1_Month,30-39,173258,47304,27.3
3_Month,30-39,759899,356654,46.93
6_Month,30-39,943380,392743,41.63
1_Year,30-39,1127977,453370,40.19
All,30-39,1306819,540194,41.34
1_Month,40-49,170546,44890,26.32
3_Month,40-49,700344,327082,46.7
6_Month,40-49,858813,359940,41.91
1_Year,40-49,1008028,406794,40.36
All,40-49,1158994,481492,41.54
1_Month,50-59,152275,35217,23.13
3_Month,50-59,525479,218220,41.53
6_Month,50-59,651977,237669,36.45
1_Year,50-59,766898,264552,34.5
All,50-59,890377,322170,36.18
1_Month,60-69,136545,28440,20.83
3_Month,60-69,430538,148223,34.43
6_Month,60-69,531297,161369,30.37
1_Year,60-69,624061,178401,28.59
All,60-69,722089,217056,30.06
1_Month,70-79,94033,18383,19.55
3_Month,70-79,266109,79532,29.89
6_Month,70-79,329723,86571,26.26
1_Year,70-79,389862,95911,24.6
All,70-79,453701,116416,25.66
1_Month,80-89,39781,6475,16.28
3_Month,80-89,102378,30803,30.09
6_Month,80-89,124877,33087,26.5
1_Year,80-89,152442,37570,24.65
All,80-89,193113,48576,25.15
1_Month,90+,10527,1347,12.8
3_Month,90+,24696,7861,31.83
6_Month,90+,29737,8405,28.26
1_Year,90+,36811,9593,26.06
All,90+,50365,13267,26.34
