section,male,female,period
0-9,"{'amount': 261800, 'percentage': 10.7}","{'amount': 194027, 'percentage': 8}",3 חודשים
0-9,"{'amount': 347361, 'percentage': 11.1}","{'amount': 273897, 'percentage': 8.7}",שנה
0-9,"{'amount': 281008, 'percentage': 10.6}","{'amount': 214174, 'percentage': 8}",6 חודשים
0-9,"{'amount': 20244, 'percentage': 6.9}","{'amount': 16014, 'percentage': 5.5}",חודש אחרון
0-9,"{'amount': 415794, 'percentage': 10.5}","{'amount': 331266, 'percentage': 8.4}",מתחילת קורונה
10-19,"{'amount': 321657, 'percentage': 10.3}","{'amount': 312123, 'percentage': 10}",שנה
10-19,"{'amount': 272314, 'percentage': 10.2}","{'amount': 262455, 'percentage': 9.9}",6 חודשים
10-19,"{'amount': 247868, 'percentage': 10.2}","{'amount': 231343, 'percentage': 9.5}",3 חודשים
10-19,"{'amount': 18076, 'percentage': 6.2}","{'amount': 18152, 'percentage': 6.2}",חודש אחרון
10-19,"{'amount': 418188, 'percentage': 10.6}","{'amount': 395955, 'percentage': 10}",מתחילת קורונה
20-29,"{'amount': 171789, 'percentage': 5.5}","{'amount': 256378, 'percentage': 8.2}",שנה
20-29,"{'amount': 143099, 'percentage': 5.4}","{'amount': 220066, 'percentage': 8.3}",6 חודשים
20-29,"{'amount': 128294, 'percentage': 5.3}","{'amount': 198965, 'percentage': 8.2}",3 חודשים
20-29,"{'amount': 17272, 'percentage': 5.9}","{'amount': 24632, 'percentage': 8.4}",חודש אחרון
20-29,"{'amount': 242861, 'percentage': 6.1}","{'amount': 339459, 'percentage': 8.6}",מתחילת קורונה
30-39,"{'amount': 141575, 'percentage': 5.8}","{'amount': 218390, 'percentage': 9}",3 חודשים
30-39,"{'amount': 181521, 'percentage': 5.8}","{'amount': 274846, 'percentage': 8.8}",שנה
30-39,"{'amount': 153771, 'percentage': 5.8}","{'amount': 236316, 'percentage': 8.9}",6 חודשים
30-39,"{'amount': 19953, 'percentage': 6.8}","{'amount': 26388, 'percentage': 9}",חודש אחרון
30-39,"{'amount': 234340, 'percentage': 5.9}","{'amount': 336740, 'percentage': 8.5}",מתחילת קורונה
40-49,"{'amount': 165501, 'percentage': 5.3}","{'amount': 242753, 'percentage': 7.8}",שנה
40-49,"{'amount': 143032, 'percentage': 5.4}","{'amount': 214411, 'percentage': 8.1}",6 חודשים
40-49,"{'amount': 131863, 'percentage': 5.4}","{'amount': 198062, 'percentage': 8.1}",3 חודשים
40-49,"{'amount': 18158, 'percentage': 6.2}","{'amount': 25838, 'percentage': 8.8}",חודש אחרון
40-49,"{'amount': 209664, 'percentage': 5.3}","{'amount': 296464, 'percentage': 7.5}",מתחילת קורונה
50-59,"{'amount': 107475, 'percentage': 3.4}","{'amount': 156756, 'percentage': 5}",שנה
50-59,"{'amount': 94860, 'percentage': 3.6}","{'amount': 140893, 'percentage': 5.3}",6 חודשים
50-59,"{'amount': 88003, 'percentage': 3.6}","{'amount': 131833, 'percentage': 5.4}",3 חודשים
50-59,"{'amount': 13518, 'percentage': 4.6}","{'amount': 20859, 'percentage': 7.1}",חודש אחרון
50-59,"{'amount': 140266, 'percentage': 3.5}","{'amount': 195296, 'percentage': 4.9}",מתחילת קורונה
60-69,"{'amount': 74442, 'percentage': 2.4}","{'amount': 103138, 'percentage': 3.3}",שנה
60-69,"{'amount': 66329, 'percentage': 2.5}","{'amount': 93459, 'percentage': 3.5}",6 חודשים
60-69,"{'amount': 61606, 'percentage': 2.5}","{'amount': 87639, 'percentage': 3.6}",3 חודשים
60-69,"{'amount': 11120, 'percentage': 3.8}","{'amount': 16514, 'percentage': 5.7}",חודש אחרון
60-69,"{'amount': 96843, 'percentage': 2.4}","{'amount': 126778, 'percentage': 3.2}",מתחילת קורונה
70-79,"{'amount': 42754, 'percentage': 1.4}","{'amount': 52380, 'percentage': 1.7}",שנה
70-79,"{'amount': 38378, 'percentage': 1.4}","{'amount': 47147, 'percentage': 1.8}",6 חודשים
70-79,"{'amount': 35647, 'percentage': 1.5}","{'amount': 44269, 'percentage': 1.8}",3 חודשים
70-79,"{'amount': 7936, 'percentage': 2.7}","{'amount': 9874, 'percentage': 3.4}",חודש אחרון
70-79,"{'amount': 53876, 'percentage': 1.4}","{'amount': 64299, 'percentage': 1.6}",מתחילת קורונה
80-89,"{'amount': 12741, 'percentage': 0.5}","{'amount': 18089, 'percentage': 0.7}",3 חודשים
80-89,"{'amount': 15536, 'percentage': 0.5}","{'amount': 21778, 'percentage': 0.7}",שנה
80-89,"{'amount': 13550, 'percentage': 0.5}","{'amount': 19137, 'percentage': 0.7}",6 חודשים
80-89,"{'amount': 2737, 'percentage': 0.9}","{'amount': 3509, 'percentage': 1.2}",חודש אחרון
80-89,"{'amount': 20525, 'percentage': 0.5}","{'amount': 28974, 'percentage': 0.7}",מתחילת קורונה
90+,"{'amount': 3284, 'percentage': 0.1}","{'amount': 6304, 'percentage': 0.2}",שנה
90+,"{'amount': 2859, 'percentage': 0.1}","{'amount': 5482, 'percentage': 0.2}",6 חודשים
90+,"{'amount': 2703, 'percentage': 0.1}","{'amount': 5201, 'percentage': 0.2}",3 חודשים
90+,"{'amount': 455, 'percentage': 0.2}","{'amount': 844, 'percentage': 0.3}",חודש אחרון
90+,"{'amount': 4563, 'percentage': 0.1}","{'amount': 9068, 'percentage': 0.2}",מתחילת קורונה
