city,sickCount,actualSick,verifiedLast7Days,testLast7Days,patientDiffPopulationForTenThousands
תל אביב - יפו,27515,577,463,38445,13
נתניה,17600,369,290,13829,17
פתח תקווה,22397,357,276,15461,14
ראשון לציון,15316,226,171,13338,9
פרדס חנה-כרכור,2708,182,156,6219,43
חולון,14940,180,145,7624,10
ירושלים,130791,177,142,24401,2
אשדוד,25878,171,151,8257,8
כפר סבא,4540,161,90,8148,16
מודיעין-מכבים-רעות,5214,153,133,8448,17
רחובות,11563,136,114,6990,10
הרצליה,4584,133,96,7832,14
באר שבע,15487,123,97,7164,6
רמת גן,8101,120,97,8565,8
חדרה,7046,119,98,4702,12
רעננה,4102,115,87,6694,15
חיפה,16865,106,88,11861,4
כפר יונה,1659,98,50,2559,41
רמלה,9744,96,70,3183,13
הוד השרון,3010,87,71,5796,14
ראש העין,5547,73,59,4044,11
בת ים,9800,72,57,5689,6
יבנה,4421,71,60,2223,15
נס ציונה,2563,67,61,3075,15
יהוד,2079,65,40,2234,22
גבעתיים,2140,64,53,4062,12
אשקלון,11965,53,44,4905,4
רמת השרון,2054,51,39,3939,11
קרני שומרון,780,46,33,1288,48
מעלה אדומים,4000,44,24,1675,12
אור יהודה,4448,44,30,1395,13
שערי תקווה,476,44,27,1177,78
לוד,8760,42,34,2619,5
קרית אונו,1895,39,25,2622,10
קרית אתא,4739,39,33,1840,7
בני ברק,48311,39,35,2374,2
בית שאן,1726,34,31,901,17
נהריה,3368,31,25,1897,5
קדימה-צורן,1216,31,22,1464,15
אילת,2577,30,26,1897,5
גני תקווה,1395,30, 11-14 ,2089,14
עפולה,3837,30,24,1634,5
גדרה,1878,30,26,1568,12
קרית מוצקין,2401,26,19,1740,6
ג'דיידה-מכר,2073,25,19,581,12
קדומים,389,25,20,965,54
שוהם,1142,24,19,2794,12
קרית ים,2390,24,20,1415,6
אורנית,417,24,17,987,27
עכו,4100,23,23,1480,4
אור עקיבא,1677,23,15,1031,12
כוכב יאיר,458,23, 11-14 ,733,25
קרית ביאליק,2283,22,19,1382,5
בית יצחק-שער חפר,111,22,19,494,105
בית שמש,20252,21,18,2143,2
אבן יהודה,680,21, 11-14 ,1429,16
חריש,1590,20,  6-10  ,822,10
טבריה,4542,20,20,1375,4
גן יבנה,1685,20, 11-14 ,1194,9
גבעת שמואל,1754,19,17,1437,7
נצרת,9081,19,16,2403,2
סביון,256,19,  6-10  ,626,44
קרית מלאכי,4123,18, 11-14 ,546,7
אופקים,4331,18, 11-14 ,870,5
נוף הגליל,2896,17, 11-14 ,1381,4
אלפי מנשה,343,17,15,685,22
טירת כרמל,1413,16,15,603,7
באר יעקב,2311,15,  6-10  ,1070,6
טייבה,4643,15, 11-14 ,1745,3
צור יצחק,256,15,  6-10  ,692,23
שדרות,2915,15, 11-14 ,534,5
ערד,2497, קטן מ-15 ,  1-5  ,623,1
נווה דניאל,305, קטן מ-15 ,  1-5  ,76,8
ביתר עילית,12876, קטן מ-15 ,  1-5  ,407,1
תל מונד,508, קטן מ-15 ,  6-10  ,1035,5
מבוא חורון,306, קטן מ-15 ,  1-5  ,100,15
מזכרת בתיה,769, קטן מ-15 ,  1-5  ,774,3
פרדסיה,280, קטן מ-15 ,  1-5  ,496,9
יקנעם עילית,1174, קטן מ-15 ,  1-5  ,800,1
אבו סנאן,1370, קטן מ-15 ,  6-10  ,352,8
ג'ת,1253, קטן מ-15 ,  1-5  ,350,1
דייר חנא,1468, קטן מ-15 ,  1-5  ,334,2
ערערה,2052, קטן מ-15 ,  1-5  ,512,3
ירוחם,988, קטן מ-15 ,  1-5  ,471,6
זרזיר,498, קטן מ-15 ,  1-5  ,135,1
כאבול,1299, קטן מ-15 ,  1-5  ,426,2
קצרין,305, קטן מ-15 ,  6-10  ,214,8
קיסריה,246, קטן מ-15 ,  1-5  ,521,7
אבני חפץ,324, קטן מ-15 ,  0  ,32,5
מיתר,380, קטן מ-15 ,  1-5  ,466,4
להבים,274, קטן מ-15 ,  0  ,469,2
נעלה,148, קטן מ-15 ,  1-5  ,107,5
שילה,409, קטן מ-15 ,  1-5  ,78,4
כפר כמא,174, קטן מ-15 ,  6-10  ,275,29
אלעד,11600, קטן מ-15 ,  6-10  ,534,3
מתן,165, קטן מ-15 ,  1-5  ,354,3
כפר מנדא,1692, קטן מ-15 ,  1-5  ,450,2
אלקנה,300, קטן מ-15 ,  1-5  ,161,3
אריאל,1071, קטן מ-15 ,  1-5  ,671,1
קרית גת,7345, קטן מ-15 ,  6-10  ,1149,2
עפרה,297, קטן מ-15 ,  1-5  ,201,22
