age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,231258,168570,618088,37.4,27.3,6,0
16-19,454948,399105,583545,78,68.4,49,0
20-29,1033814,942575,1300361,79.5,72.5,450,0
30-39,1002250,933219,1197026,83.7,78,2457,0.2
40-49,952743,892851,1098556,86.7,81.3,6743,0.6
50-59,764988,720776,849966,90,84.8,100425,11.8
60-69,676183,648098,741639,91.2,87.4,361828,48.8
70-79,470085,457720,490784,95.8,93.3,324311,66.1
80-89,212778,206826,225538,94.3,91.7,138508,61.4
90+,48343,46545,51496,93.9,90.4,28960,56.2
