age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,344048,308794,1538337,22.4,20.1
20-29,995429,908560,1300361,76.6,69.9
30-39,964778,897618,1197026,80.6,75
40-49,928533,872124,1098556,84.5,79.4
50-59,757311,713182,849966,89.1,83.9
60-69,668004,638067,741639,90.1,86
70-79,483100,467176,490784,98.4,95.2
80-89,216360,208878,225538,95.9,92.6
90+,51186,48601,51496,99.4,94.4
