section,male,female,period
0-9,"{'amount': 65, 'percentage': 0.6}","{'amount': 43, 'percentage': 0.4}",שנה
0-9,"{'amount': 9, 'percentage': 0.3}","{'amount': 9, 'percentage': 0.3}",6 חודשים
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.1}",3 חודשים
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
0-9,"{'amount': 124, 'percentage': 0.4}","{'amount': 78, 'percentage': 0.2}",מתחילת קורונה
10-19,"{'amount': 29, 'percentage': 0.3}","{'amount': 22, 'percentage': 0.2}",שנה
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 2, 'percentage': 0.5}",חודש אחרון
10-19,"{'amount': 4, 'percentage': 0.1}","{'amount': 7, 'percentage': 0.2}",6 חודשים
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 2, 'percentage': 0.3}",3 חודשים
10-19,"{'amount': 81, 'percentage': 0.3}","{'amount': 83, 'percentage': 0.3}",מתחילת קורונה
20-29,"{'amount': 3, 'percentage': 0.4}","{'amount': 3, 'percentage': 0.4}",3 חודשים
20-29,"{'amount': 49, 'percentage': 0.5}","{'amount': 40, 'percentage': 0.4}",שנה
20-29,"{'amount': 10, 'percentage': 0.3}","{'amount': 14, 'percentage': 0.4}",6 חודשים
20-29,"{'amount': 1, 'percentage': 0.3}","{'amount': 0, 'percentage': 0}",חודש אחרון
20-29,"{'amount': 252, 'percentage': 0.8}","{'amount': 284, 'percentage': 0.9}",מתחילת קורונה
30-39,"{'amount': 78, 'percentage': 0.8}","{'amount': 83, 'percentage': 0.8}",שנה
30-39,"{'amount': 16, 'percentage': 0.5}","{'amount': 13, 'percentage': 0.4}",6 חודשים
30-39,"{'amount': 2, 'percentage': 0.3}","{'amount': 7, 'percentage': 0.9}",3 חודשים
30-39,"{'amount': 0, 'percentage': 0}","{'amount': 2, 'percentage': 0.5}",חודש אחרון
30-39,"{'amount': 642, 'percentage': 2}","{'amount': 605, 'percentage': 1.9}",מתחילת קורונה
40-49,"{'amount': 181, 'percentage': 1.8}","{'amount': 113, 'percentage': 1.1}",שנה
40-49,"{'amount': 37, 'percentage': 1}","{'amount': 25, 'percentage': 0.7}",6 חודשים
40-49,"{'amount': 5, 'percentage': 0.6}","{'amount': 3, 'percentage': 0.4}",3 חודשים
40-49,"{'amount': 2, 'percentage': 0.5}","{'amount': 1, 'percentage': 0.3}",חודש אחרון
40-49,"{'amount': 1438, 'percentage': 4.4}","{'amount': 986, 'percentage': 3}",מתחילת קורונה
50-59,"{'amount': 12, 'percentage': 3.2}","{'amount': 7, 'percentage': 1.9}",חודש אחרון
50-59,"{'amount': 393, 'percentage': 3.8}","{'amount': 274, 'percentage': 2.7}",שנה
50-59,"{'amount': 94, 'percentage': 2.6}","{'amount': 70, 'percentage': 2}",6 חודשים
50-59,"{'amount': 20, 'percentage': 2.6}","{'amount': 15, 'percentage': 1.9}",3 חודשים
50-59,"{'amount': 2316, 'percentage': 7.2}","{'amount': 1635, 'percentage': 5.1}",מתחילת קורונה
60-69,"{'amount': 870, 'percentage': 8.4}","{'amount': 595, 'percentage': 5.8}",שנה
60-69,"{'amount': 275, 'percentage': 7.7}","{'amount': 176, 'percentage': 5}",6 חודשים
60-69,"{'amount': 53, 'percentage': 6.9}","{'amount': 33, 'percentage': 4.3}",3 חודשים
60-69,"{'amount': 25, 'percentage': 6.6}","{'amount': 17, 'percentage': 4.5}",חודש אחרון
60-69,"{'amount': 3535, 'percentage': 10.9}","{'amount': 2381, 'percentage': 7.4}",מתחילת קורונה
70-79,"{'amount': 57, 'percentage': 15.2}","{'amount': 42, 'percentage': 11.2}",חודש אחרון
70-79,"{'amount': 1458, 'percentage': 14.1}","{'amount': 1112, 'percentage': 10.8}",שנה
70-79,"{'amount': 515, 'percentage': 14.5}","{'amount': 405, 'percentage': 11.4}",6 חודשים
70-79,"{'amount': 121, 'percentage': 15.7}","{'amount': 103, 'percentage': 13.3}",3 חודשים
70-79,"{'amount': 4161, 'percentage': 12.9}","{'amount': 3174, 'percentage': 9.8}",מתחילת קורונה
80-89,"{'amount': 1620, 'percentage': 15.7}","{'amount': 1654, 'percentage': 16.1}",שנה
80-89,"{'amount': 616, 'percentage': 17.3}","{'amount': 609, 'percentage': 17.2}",6 חודשים
80-89,"{'amount': 142, 'percentage': 18.4}","{'amount': 137, 'percentage': 17.7}",3 חודשים
80-89,"{'amount': 81, 'percentage': 21.5}","{'amount': 69, 'percentage': 18.4}",חודש אחרון
80-89,"{'amount': 3647, 'percentage': 11.3}","{'amount': 3741, 'percentage': 11.6}",מתחילת קורונה
90+,"{'amount': 678, 'percentage': 6.6}","{'amount': 948, 'percentage': 9.2}",שנה
90+,"{'amount': 50, 'percentage': 6.5}","{'amount': 73, 'percentage': 9.4}",3 חודשים
90+,"{'amount': 250, 'percentage': 7}","{'amount': 397, 'percentage': 11.2}",6 חודשים
90+,"{'amount': 25, 'percentage': 6.6}","{'amount': 33, 'percentage': 8.8}",חודש אחרון
90+,"{'amount': 1279, 'percentage': 4}","{'amount': 1907, 'percentage': 5.9}",מתחילת קורונה
