age,active_amount_boost_vaccinated,active_amount_vaccinated,active_amount_not_vaccinated,active_boost_vaccinated_normalized,active_vaccinated_normalized,active_not_vaccinated_normalized,serious_amount_boost_vaccinated,serious_amount_vaccinated,serious_amount_not_vaccinated,serious_boost_vaccinated_normalized,serious_vaccinated_normalized,serious_not_vaccinated_normalized
12-15,1,542,5340,361,203.6,1887,0,0,1,0,0,0.4
16-19,144,2480,2198,148.2,769.9,1550,0,0,1,0,0,0.7
20-29,424,6715,4088,148.4,923.6,1588.1,0,2,13,0,0.3,5.1
30-39,661,6893,3917,182.8,1111.8,2114.4,0,3,48,0,0.5,25.9
40-49,653,4078,2719,136.4,887.2,1910,3,9,75,0.6,2,52.7
50-59,427,1713,1359,89.7,606.7,1390.6,6,31,81,1.3,11,82.9
60-69,371,848,796,72,547.7,1200.7,12,32,105,2.3,20.7,158.4
70-79,236,446,401,59.7,563.7,864,16,39,83,4,49.3,178.8
80-89,172,288,256,100,710.7,1154.5,16,34,49,9.3,83.9,221
90+,57,73,80,164.3,538.9,928,2,7,20,5.8,51.7,232
