gender,age,period,count_verified,verified_percentage,count_dead,dead_percentage,count_breathe,breathe_percentage,count_severe,severe_percentage
זכר,0-9,מתחילת קורונה,417876,10.2,7,0.1,31,0.5,111,0.4
זכר,0-9,חודש אחרון,4364,6,0,0,1,0.7,3,0.7
זכר,0-9,3 חודשים,43566,7.6,0,0,8,1.3,18,0.8
זכר,0-9,6 חודשים,278697,10.1,4,0.2,17,1.2,54,0.8
זכר,0-9,שנה,349475,10.8,5,0.1,23,1,80,0.7
נקבה,0-9,מתחילת קורונה,342350,8.4,5,0,15,0.2,73,0.3
נקבה,0-9,חודש אחרון,3678,5.1,0,0,0,0,2,0.5
נקבה,0-9,3 חודשים,34673,6.1,1,0.1,4,0.6,12,0.5
נקבה,0-9,6 חודשים,219638,8,2,0.1,8,0.6,37,0.5
נקבה,0-9,שנה,284360,8.8,2,0,8,0.3,55,0.5
זכר,10-19,מתחילת קורונה,417801,10.2,7,0.1,23,0.4,77,0.3
זכר,10-19,6 חודשים,269430,9.8,4,0.2,9,0.6,26,0.4
זכר,10-19,שנה,321503,9.9,5,0.1,14,0.6,41,0.3
זכר,10-19,חודש אחרון,3644,5,0,0,0,0,1,0.2
זכר,10-19,3 חודשים,37794,6.6,1,0.1,4,0.6,6,0.3
נקבה,10-19,מתחילת קורונה,407477,10,8,0.1,24,0.4,78,0.3
נקבה,10-19,חודש אחרון,3933,5.4,1,0.9,2,1.4,1,0.2
נקבה,10-19,3 חודשים,38251,6.7,1,0.1,3,0.5,7,0.3
נקבה,10-19,6 חודשים,268722,9.8,3,0.1,10,0.7,17,0.3
נקבה,10-19,שנה,322319,9.9,4,0.1,16,0.7,35,0.3
זכר,20-29,מתחילת קורונה,244686,6,24,0.2,54,0.9,241,0.8
זכר,20-29,חודש אחרון,2869,4,0,0,0,0,4,1
זכר,20-29,3 חודשים,29678,5.2,1,0.1,4,0.6,12,0.5
זכר,20-29,6 חודשים,144999,5.3,2,0.1,11,0.8,39,0.6
זכר,20-29,שנה,174122,5.4,5,0.1,22,0.9,91,0.8
נקבה,20-29,מתחילת קורונה,349671,8.6,22,0.2,57,0.9,272,0.9
נקבה,20-29,חודש אחרון,4426,6.1,0,0,1,0.7,0,0
נקבה,20-29,3 חודשים,44730,7.8,0,0,1,0.2,4,0.2
נקבה,20-29,6 חודשים,227448,8.3,6,0.2,13,0.9,27,0.4
נקבה,20-29,שנה,265764,8.2,9,0.2,20,0.8,98,0.8
זכר,30-39,מתחילת קורונה,239099,5.9,53,0.5,102,1.7,625,2.2
זכר,30-39,חודש אחרון,4133,5.7,0,0,3,2.1,2,0.5
זכר,30-39,3 חודשים,36472,6.4,4,0.5,19,3,20,0.9
זכר,30-39,6 חודשים,157920,5.7,12,0.5,29,2.1,61,0.9
זכר,30-39,שנה,186512,5.7,25,0.6,48,2,217,1.8
