instituteDesc,occupancy,gOccupancy,occupancyDate
רבין ק. השרון,57.9,47.7,2022-05-21T00:00:00.000Z
הכרמל,66,69.1,2022-05-21T00:00:00.000Z
סורוקה,67.4,70.6,2022-05-21T00:00:00.000Z
מאיר,71.5,78,2022-05-21T00:00:00.000Z
יוספטל,75,43.1,2022-05-21T00:00:00.000Z
וולפסון,77.9,69.3,2022-05-21T00:00:00.000Z
בני ציון,87.6,65.8,2022-05-21T00:00:00.000Z
ברזילי,87,68.7,2022-05-21T00:00:00.000Z
לניאדו,89.7,81.6,2022-05-21T00:00:00.000Z
הלל יפה,90.4,76.5,2022-05-21T00:00:00.000Z
זיו צפת,90.6,60.2,2022-05-21T00:00:00.000Z
איכילוב,91,97.5,2022-05-21T00:00:00.000Z
שמיר,93.4,65.5,2022-05-21T00:00:00.000Z
הדסה הר הצופים,94.4,75.7,2022-05-21T00:00:00.000Z
פוריה,94.9,67.9,2022-05-21T00:00:00.000Z
שיבא,94.6,97.8,2022-05-21T00:00:00.000Z
רבין ק. בילינסון,100.9,85.2,2022-05-21T00:00:00.000Z
המרכזי בעמק,101.3,73.3,2022-05-21T00:00:00.000Z
"רמב""ם",102,79.2,2022-05-21T00:00:00.000Z
הדסה עין כרם,103.9,80.8,2022-05-21T00:00:00.000Z
שערי צדק,112.7,91.7,2022-05-21T00:00:00.000Z
קפלן,113.3,95.2,2022-05-21T00:00:00.000Z
נהריה,120,83.2,2022-05-21T00:00:00.000Z
אסותא אשדוד,127.1,88.1,2022-05-21T00:00:00.000Z
