section,male,female,period,order_period
0-9,"{'amount': 23, 'percentage': 0.1}","{'amount': 21, 'percentage': 0.1}",שנה,2
0-9,"{'amount': 26, 'percentage': 0.2}","{'amount': 22, 'percentage': 0.1}",מתחילת קורונה,1
0-9,"{'amount': 1, 'percentage': 0.5}","{'amount': 1, 'percentage': 0.5}",חודש אחרון,5
0-9,"{'amount': 1, 'percentage': 0.3}","{'amount': 2, 'percentage': 0.6}",3 חודשים,4
0-9,"{'amount': 8, 'percentage': 0.1}","{'amount': 15, 'percentage': 0.3}",6 חודשים,3
10-19,"{'amount': 9, 'percentage': 0.2}","{'amount': 19, 'percentage': 0.3}",6 חודשים,3
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.5}",חודש אחרון,5
10-19,"{'amount': 28, 'percentage': 0.2}","{'amount': 45, 'percentage': 0.3}",מתחילת קורונה,1
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 2, 'percentage': 0.6}",3 חודשים,4
10-19,"{'amount': 26, 'percentage': 0.2}","{'amount': 43, 'percentage': 0.3}",שנה,2
20-29,"{'amount': 2, 'percentage': 0.6}","{'amount': 2, 'percentage': 0.6}",3 חודשים,4
20-29,"{'amount': 2, 'percentage': 1}","{'amount': 1, 'percentage': 0.5}",חודש אחרון,5
20-29,"{'amount': 136, 'percentage': 0.8}","{'amount': 155, 'percentage': 1}",שנה,2
20-29,"{'amount': 141, 'percentage': 0.8}","{'amount': 161, 'percentage': 0.9}",מתחילת קורונה,1
20-29,"{'amount': 77, 'percentage': 1.4}","{'amount': 85, 'percentage': 1.5}",6 חודשים,3
30-39,"{'amount': 413, 'percentage': 2.4}","{'amount': 352, 'percentage': 2.1}",מתחילת קורונה,1
30-39,"{'amount': 385, 'percentage': 2.4}","{'amount': 337, 'percentage': 2.1}",שנה,2
30-39,"{'amount': 3, 'percentage': 1.4}","{'amount': 5, 'percentage': 2.4}",חודש אחרון,5
30-39,"{'amount': 5, 'percentage': 1.5}","{'amount': 14, 'percentage': 4.3}",3 חודשים,4
30-39,"{'amount': 194, 'percentage': 3.4}","{'amount': 194, 'percentage': 3.4}",6 חודשים,3
40-49,"{'amount': 403, 'percentage': 7.1}","{'amount': 261, 'percentage': 4.6}",6 חודשים,3
40-49,"{'amount': 16, 'percentage': 4.9}","{'amount': 8, 'percentage': 2.4}",3 חודשים,4
40-49,"{'amount': 10, 'percentage': 4.8}","{'amount': 5, 'percentage': 2.4}",חודש אחרון,5
40-49,"{'amount': 897, 'percentage': 5.6}","{'amount': 553, 'percentage': 3.4}",שנה,2
40-49,"{'amount': 943, 'percentage': 5.5}","{'amount': 577, 'percentage': 3.4}",מתחילת קורונה,1
50-59,"{'amount': 15, 'percentage': 4.6}","{'amount': 26, 'percentage': 7.9}",3 חודשים,4
50-59,"{'amount': 10, 'percentage': 4.8}","{'amount': 13, 'percentage': 6.3}",חודש אחרון,5
50-59,"{'amount': 1442, 'percentage': 9}","{'amount': 955, 'percentage': 6}",שנה,2
50-59,"{'amount': 1533, 'percentage': 9}","{'amount': 992, 'percentage': 5.8}",מתחילת קורונה,1
50-59,"{'amount': 538, 'percentage': 9.5}","{'amount': 402, 'percentage': 7.1}",6 חודשים,3
60-69,"{'amount': 561, 'percentage': 9.9}","{'amount': 469, 'percentage': 8.3}",6 חודשים,3
60-69,"{'amount': 31, 'percentage': 9.5}","{'amount': 29, 'percentage': 8.8}",3 חודשים,4
60-69,"{'amount': 21, 'percentage': 10.1}","{'amount': 15, 'percentage': 7.2}",חודש אחרון,5
60-69,"{'amount': 2138, 'percentage': 12.6}","{'amount': 1323, 'percentage': 7.8}",מתחילת קורונה,1
60-69,"{'amount': 2017, 'percentage': 12.6}","{'amount': 1275, 'percentage': 7.9}",שנה,2
70-79,"{'amount': 606, 'percentage': 10.7}","{'amount': 523, 'percentage': 9.2}",6 חודשים,3
70-79,"{'amount': 29, 'percentage': 14}","{'amount': 28, 'percentage': 13.5}",חודש אחרון,5
70-79,"{'amount': 2247, 'percentage': 13.2}","{'amount': 1572, 'percentage': 9.2}",מתחילת קורונה,1
70-79,"{'amount': 2093, 'percentage': 13}","{'amount': 1501, 'percentage': 9.4}",שנה,2
70-79,"{'amount': 39, 'percentage': 11.9}","{'amount': 45, 'percentage': 13.7}",3 חודשים,4
80-89,"{'amount': 1595, 'percentage': 9.4}","{'amount': 1623, 'percentage': 9.5}",מתחילת קורונה,1
80-89,"{'amount': 435, 'percentage': 7.7}","{'amount': 533, 'percentage': 9.4}",6 חודשים,3
80-89,"{'amount': 27, 'percentage': 13}","{'amount': 20, 'percentage': 9.7}",חודש אחרון,5
80-89,"{'amount': 39, 'percentage': 11.9}","{'amount': 26, 'percentage': 7.9}",3 חודשים,4
80-89,"{'amount': 1493, 'percentage': 9.3}","{'amount': 1513, 'percentage': 9.4}",שנה,2
90+,"{'amount': 516, 'percentage': 3}","{'amount': 770, 'percentage': 4.5}",מתחילת קורונה,1
90+,"{'amount': 145, 'percentage': 2.6}","{'amount': 196, 'percentage': 3.5}",6 חודשים,3
90+,"{'amount': 7, 'percentage': 2.1}","{'amount': 19, 'percentage': 5.8}",3 חודשים,4
90+,"{'amount': 5, 'percentage': 2.4}","{'amount': 10, 'percentage': 4.8}",חודש אחרון,5
90+,"{'amount': 475, 'percentage': 3}","{'amount': 708, 'percentage': 4.4}",שנה,2
