age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,627273,475958,1538337,40.8,30.9
20-29,1024890,935859,1300361,78.8,72
30-39,995082,927432,1197026,83.1,77.5
40-49,947461,889051,1098556,86.2,80.9
50-59,761490,717556,849966,89.6,84.4
60-69,673540,644483,741639,90.8,86.9
70-79,468422,455415,490784,95.4,92.8
80-89,211869,205758,225538,93.9,91.2
90+,48044,46223,51496,93.3,89.8
