name,value
עוסים,2
פרמדיקים,2
פסיכולוגים/ות,7
עובדי מערך לוגיסטי,10
עובדי מעבדה,11
אנשי כוח עזר,17
פיזיותרפיסטים/ריפוי בעיסוק/קלינאי תקשורת,24
רוקחים,25
חובשי רפואת חירום,32
סקטורים אחרים,61
עובדי מינהל ומשק,101
