city,diff,percentOfCityPopulation,sickCount,status,testsCount
ירושלים,1.109631602308034,0.48922334183783045,4556,,117133
בני ברק,0.6466784244562023,1.7051283328187412,3424,,49450
תל אביב - יפו,1.182965299684543,0.2811075154083289,1283,,54700
בית שמש,0,0.48562824212036637,616,,11505
אשדוד,5.660377358490567,0.248109274413288,560,,20634
מודיעין עילית,0.4123711340206186,0.6327058242714788,487,,9516
אלעד,0.8281573498964804,1.0242281483974092,487,בסגר חלקי,8154
פתח תקווה,1.48619957537155,0.1946785157188647,478,,27218
בת ים,4.611650485436893,0.3318754427572612,431,,16290
באר שבע,1.6,0.1932362249452244,381,,26620
ביתר עילית,1.13314447592068,0.5790942123021023,357,,5577
ראשון לציון,1.149425287356322,0.14497528830313008,352,,23377
חולון,1.253918495297806,0.1728751873260544,323,,19941
נתניה,0.6514657980456027,0.142463934494253,309,,18138
אשקלון,0.9900990099009901,0.2157710288611379,306,,15520
חיפה,1.408450704225352,0.1053305293956295,288,,24745
רהט,6.692913385826772,0.4049793027182928,271,בסגר חלקי,6478
רמת גן,2.334630350194553,0.1788239773716275,263,,17231
טבריה,1.6,0.5651980418335559,254,בסגר חלקי,6933
ערערה-בנגב,5.857740585774059,1.3974040320353491,253,בסגר חלקי,3527
חורה,0,1.230040060937765,218,,2783
אור יהודה,0.48543689320388356,0.5954606909645314,207,,5222
רחובות,2.2346368715083798,0.1314220875285466,183,,14349
רעננה,0.5952380952380952,0.224760942134032,169,,9548
לוד,2.515723270440252,0.21366120934866098,163,,6599
הרצליה,1.875,0.1757109285729686,163,,9346
דייר אל-אסד,0,1.214864221057647,153,,4951
מודיעין-מכבים-רעות,1.408450704225352,0.1644192233475297,144,,8137
רמלה,7.6923076923076925,0.18486973286323602,140,,7015
קרית גת,8.59375,0.24178117933553658,139,,5204
נתיבות,0.7874015748031495,0.33264897736427657,128,,3788
צפת,1.639344262295082,0.3447604748797509,124,,3890
אום אל-פחם,0.8620689655172413,0.208222103577149,117,,4446
כפר סבא,1.754385964912281,0.1183890918740177,116,,10211
מגדל העמק,0,0.3957580880657804,103,,2728
באקה אל-גרביה,5.154639175257731,0.3450142064673251,102,,3356
חדרה,2.197802197802198,0.09741892231626582,93,,12760
יהוד,0,0.2963881996140061,86,,2880
עפולה,1.204819277108434,0.1571415209054345,84,,4374
שדרות,0,0.2957048865232498,80,,4307
ראש העין,2.777777777777778,0.12453719286435541,74,,5731
יבנה,0,0.1551289509404693,72,,4152
קרית מלאכי,1.428571428571429,0.2909359121455499,71,,1668
גבעתיים,7.575757575757576,0.12845098961537071,71,,5591
קרית אונו,0,0.1840588988476313,69,,3909
רכסים,0,0.5406714009038088,67,,1721
כוכב יעקב,0,0.7385028533064787,66,,955
נהריה,0,0.11037896778941031,66,,7253
גבעת זאב,0,0.341817416912074,65,,2356
הוד השרון,3.225806451612903,0.1067770029029998,64,,5178
אילת,1.5873015873015868,0.1131461707092851,64,,3521
אפרת,0,0.5612558098745943,64,,1660
אופקים,1.666666666666667,0.1916130045547354,61,,3238
גדרה,3.389830508474576,0.2449405717956955,61,,3826
דימונה,0,0.1707631151671239,61,,3309
מעלה אדומים,0,0.1600213361781571,60,,5001
טייבה,0,0.1273943309522726,56,,3207
גני תקווה,0,0.2758966641585152,55,,2380
כרמיאל,0,0.1161215405457713,54,,4159
גבעת שמואל,0,0.2153367627706663,54,,2501
רמת השרון,2.0408163265306123,0.1102803326054831,50,,4068
קרית יערים,0,0.7656723560376456,48,,1154
ג'ת,2.173913043478261,0.3850565295756185,47,,1649
ג'סר א-זרקא,0,0.3140241865437295,47,,3076
אזור,0,0.38445465942331797,46,,1363
שוהם,0,0.2246181491464511,45,,2122
"כפר חב""ד",0,0.6546406750072737,45,,1167
באר יעקב,0,0.1585950796843571,41,,2316
זכרון יעקב,0,0.1795573910311083,40,,1595
בענה,2.564102564102564,0.4743270484999407,40,,2117
נוף הגליל,0,0.08598257721461704,38,,3892
אבן יהודה,0,0.2779864763335838,37,,1440
עכו,0,0.07225292429065204,37,,4273
קרית אתא,0,0.06241439692088976,36,,4742
נס ציונה,0,0.0785494534267199,36,,3403
פרדס חנה-כרכור,3.03030303030303,0.08184685009990131,34,,5488
כפר קאסם,21.42857142857143,0.1412312037883194,34,,1731
דבוריה,0,0.3223971173904798,34,,1822
טירה,55.00000000000001,0.1167168674698795,31,,2080
גן יבנה,0,0.1376737576053648,31,,1660
קרית ים,3.448275862068966,0.0763611372718711,30,,3161
בית שאן,3.571428571428571,0.1501812532366649,29,,1248
ערד,3.703703703703704,0.103838308918969,28,,1804
כפר קרע,0,0.1409921671018277,27,,1567
נצרת,3.846153846153846,0.03438220275312305,27,,2671
קרית מוצקין,3.846153846153846,0.061422266709131444,27,,4639
מזכרת בתיה,0,0.1727689547478238,26,,1863
מצפה רמון,0,0.519065681772809,26,,430
מבשרת ציון,0,0.1123255713483389,26,,3059
אריאל,0,0.1420920319160564,26,,1596
טמרה,0,0.07281836187813119,25,,1950
להבים,0,0.40096230954290296,25,,1559
לקיה,0,0.15638235485762692,24,,1033
מעלה עירון,0,0.1524289217310624,23,,1108
מג'ד אל-כרום,0,0.1491085899513776,23,,2202
מיתר,0,0.2197143713172875,22,,1719
קדימה-צורן,0,0.1045279612296289,22,,1399
ערערה,0,0.1000200040008002,20,,1835
יבנאל,0,0.48169556840077066,20,,389
יקנעם עילית,0,0.08637070305752288,20,,1543
טירת כרמל,0,0.08662883874041669,20,,1337
עלי,0,0.4873294346978557,20,,374
עומר,0,0.2394454946439824,19,,1275
קרית ביאליק,0,0.048278490661923516,19,,2936
ג'לג'וליה,18.75,0.18649391440910879,19,,810
כסיפה,0,0.10167768174885611,18,,831
שפרעם,0,0.04361521686455052,18,,2492
קרית שמונה,5.882352941176471,0.08148852369957897,18,,1323
כפר כנא,0,0.07460721495655227,17,,1478
סח'נין,0,0.05193059628543499,17,,1950
חריש,0,0.1111574267055718,16,,1014
קלנסווה,0,0.06930307099233335,16,,1632
כפר יונה,0,0.06982325987344534,16,,1497
בית אריה,6.666666666666667,0.31280547409579673,16,,486
עמנואל,6.666666666666667,0.3808616995953344,16,,262
קרית עקרון,7.142857142857142,0.1411100658513641,15,,770
תל מונד,0,0.1170046801872075,15,,1581
מעלות-תרשיחא,0,0.06638049298579458,15,,1734
הר אדר,0,0.3718393653941497,15,,774
כוכב יאיר,0,0.1644556517925666,15,,846
פוריידיס,0,0.11283285692793739,15,,923
פקיעין (בוקייעה),0,0.2540220152413209,15,,748
מרכז שפירא,0,0.7201152184349496,15,,268
פדואל,0,0.18867924528301888, קטן מ-15 ,,156
פסוטה,0,0.02965599051008304, קטן מ-15 ,,455
כסרא-סמיע,0,0.022975301550832862, קטן מ-15 ,,806
כפר אדומים,0,0.2089621546319944, קטן מ-15 ,,530
כפר ברא,0,0.1054574215660427, קטן מ-15 ,,269
כפר האורנים,0,0.18083182640144668, קטן מ-15 ,,197
כפר ורדים,0,0.09064539521392313, קטן מ-15 ,,422
צופים,0,0.1698513800424629, קטן מ-15 ,,171
כפר יאסיף,0,0.1218711915252648, קטן מ-15 ,,1131
צור הדסה,0,0.1287277408281485, קטן מ-15 ,,1297
כפר מצר,0,0.036114120621162885, קטן מ-15 ,,124
פרדסיה,0,0.032557382386456134, קטן מ-15 ,,1019
קצרין,0,0.1866666666666667, קטן מ-15 ,,470
קרית טבעון,0,0.03147227292755083, קטן מ-15 ,,1160
כפר תבור,0,0.1367365542388332, קטן מ-15 ,,314
ראמה,0,0.035962598897146966, קטן מ-15 ,,560
רבבה,0,0.2553812477198103, קטן מ-15 ,,221
רמת ישי,0,0.0411635565312843, קטן מ-15 ,,485
שערי תקווה,0,0.053447354355959376, קטן מ-15 ,,433
מג'דל שמס,0,0.035650623885918005, קטן מ-15 ,,617
עיילבון,0,0.1225275687029582, קטן מ-15 ,,630
צור יצחק,0,0.06360311655271109, קטן מ-15 ,,456
מסעודין אל-עזאזמה,0,0.01162250116225012, קטן מ-15 ,,158
מעיליא,0,0.06277463904582549, קטן מ-15 ,,300
מתן,0,0.24906600249065997, קטן מ-15 ,,236
שילה,0,0.18302447952413642, קטן מ-15 ,,256
שלומי,10,0.1652644230769231, קטן מ-15 ,,1110
