name,value
מספר דיאטניות בבידוד,4
מספר פסיכולוגים/ות בבידוד,9
מספר פרמדיקים בבידוד,9
מספר עובדי מערך לוגיסטי בבידוד,9
מספר עוסים בבידוד,12
מספר רוקחים בבידוד,32
מספר עובדי מעבדה בבידוד,35
מספר פיזיותרפיסטים/ריפוי בעיסוק/קלינאי תקשורת בבידוד,41
סקטורים אחרים בבידוד,59
מספר חובשי רפואת חירום בבידוד,69
מספר אנשי כוח עזר בבידוד,101
מספר עובדי מינהל ומשק בבידוד,271
