name,value
פראמדיקים,0
קלינאות תקשורת,0
ריפוי בעיסוק,1
חובשי רפואת חירום,2
שירות סוציאלי,3
פסיכולוגיה,4
פיזיותרפיה,4
מעבדה,6
רוקחות,6
מערך לוגיסטי,7
כוח עזר,12
מינהל ומשק,59
סקטורים אחרים,152
