instituteDesc,occupancy,gOccupancy,occupancyDate
רבין ק. השרון,50.9,64.3,2022-03-10T00:00:00.000Z
פוריה,62.8,70.4,2022-03-10T00:00:00.000Z
יוספטל,62.5,40,2022-03-10T00:00:00.000Z
סורוקה,66.3,76.9,2022-03-10T00:00:00.000Z
הכרמל,66,76.9,2022-03-10T00:00:00.000Z
וולפסון,67.2,76,2022-03-10T00:00:00.000Z
הדסה הר הצופים,80.6,95.8,2022-03-10T00:00:00.000Z
המרכזי בעמק,81.9,70.4,2022-03-10T00:00:00.000Z
איכילוב,82.3,119.7,2022-03-10T00:00:00.000Z
קפלן,82,89.4,2022-03-10T00:00:00.000Z
בני ציון,83.5,88.9,2022-03-10T00:00:00.000Z
הלל יפה,87,83.7,2022-03-10T00:00:00.000Z
"רמב""ם",88.9,88.3,2022-03-10T00:00:00.000Z
שמיר,88.4,72.5,2022-03-10T00:00:00.000Z
לניאדו,88.5,113.1,2022-03-10T00:00:00.000Z
נהריה,92.1,85.3,2022-03-10T00:00:00.000Z
מאיר,96,92.3,2022-03-10T00:00:00.000Z
ברזילי,101,85.6,2022-03-10T00:00:00.000Z
זיו צפת,109.4,75.8,2022-03-10T00:00:00.000Z
מ.גריאטרי פרדס חנה,,42.1,2022-03-10T00:00:00.000Z
הדסה עין כרם,110.7,96.6,2022-03-10T00:00:00.000Z
רבין ק. בילינסון,114.5,98.1,2022-03-10T00:00:00.000Z
אסותא אשדוד,128.8,109.6,2022-03-10T00:00:00.000Z
