period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,200545,73273,36.54
3_Month,0-9,1139615,450732,39.55
6_Month,0-9,1320032,510622,38.68
1_Year,0-9,1493812,583602,39.07
All,0-9,1670002,686901,41.13
1_Month,10-19,184686,68315,36.99
3_Month,10-19,1040079,490486,47.16
6_Month,10-19,1198020,532088,44.41
1_Year,10-19,1373364,589834,42.95
All,10-19,1580205,731638,46.3
1_Month,20-29,187022,42962,22.97
3_Month,20-29,804377,319134,39.67
6_Month,20-29,989020,341502,34.53
1_Year,20-29,1169659,386613,33.05
All,20-29,1377222,507687,36.86
1_Month,30-39,192721,54235,28.14
3_Month,30-39,787893,340610,43.23
6_Month,30-39,946767,366000,38.66
1_Year,30-39,1102886,409642,37.14
All,30-39,1271419,495607,38.98
1_Month,40-49,188756,51259,27.16
3_Month,40-49,723243,311324,43.05
6_Month,40-49,852412,328773,38.57
1_Year,40-49,981241,364674,37.16
All,40-49,1126096,438767,38.96
1_Month,50-59,151784,33954,22.37
3_Month,50-59,526577,200794,38.13
6_Month,50-59,635501,208975,32.88
1_Year,50-59,736330,230943,31.36
All,50-59,857124,288349,33.64
1_Month,60-69,129530,22696,17.52
3_Month,60-69,422238,131802,31.22
6_Month,60-69,511334,136551,26.7
1_Year,60-69,594091,151033,25.42
All,60-69,690395,189359,27.43
1_Month,70-79,85605,12589,14.71
3_Month,70-79,255379,67572,26.46
6_Month,70-79,311488,69907,22.44
1_Year,70-79,366786,78030,21.27
All,70-79,429123,98257,22.9
1_Month,80-89,38770,4971,12.82
3_Month,80-89,99526,26299,26.42
6_Month,80-89,119510,27454,22.97
1_Year,80-89,145962,31368,21.49
All,80-89,184346,42152,22.87
1_Month,90+,10584,1263,11.93
3_Month,90+,24511,6979,28.47
6_Month,90+,28997,7296,25.16
1_Year,90+,35955,8331,23.17
All,90+,48504,11944,24.62
