age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,357022,287258,635971,56.1,45.2,466,0.1
16-19,510087,441256,591331,86.3,74.6,182826,30.9
20-29,1095667,979334,1319364,83,74.2,599534,45.4
30-39,1050420,962913,1207243,87,79.8,617983,51.2
40-49,989059,918889,1110965,89,82.7,670528,60.4
50-59,786840,740494,874608,90,84.7,591731,67.7
60-69,687146,660386,747217,92,88.4,569003,76.1
70-79,475607,464813,526929,90.3,88.2,433083,82.2
80-89,215247,209572,238729,90.2,87.8,189359,79.3
90+,48948,47134,58687,83.4,80.3,41256,70.3
