day_date,R
2020-07-01T00:00:00.000Z,1.28
2020-07-02T00:00:00.000Z,1.28
2020-07-03T00:00:00.000Z,1.28
2020-07-04T00:00:00.000Z,1.23
2020-07-05T00:00:00.000Z,1.23
2020-07-06T00:00:00.000Z,1.21
2020-07-07T00:00:00.000Z,1.18
2020-07-08T00:00:00.000Z,1.17
2020-07-09T00:00:00.000Z,1.12
2020-07-10T00:00:00.000Z,1.1
2020-07-11T00:00:00.000Z,1.11
2020-07-12T00:00:00.000Z,1.1
2020-07-13T00:00:00.000Z,1.07
2020-07-14T00:00:00.000Z,1.08
2020-07-15T00:00:00.000Z,1.04
2020-07-16T00:00:00.000Z,1.03
2020-07-17T00:00:00.000Z,1.04
2020-07-18T00:00:00.000Z,1.04
2020-07-19T00:00:00.000Z,1.02
2020-07-20T00:00:00.000Z,1
2020-07-21T00:00:00.000Z,0.96
2020-07-22T00:00:00.000Z,0.93
2020-07-23T00:00:00.000Z,0.91
2020-07-24T00:00:00.000Z,0.91
2020-07-25T00:00:00.000Z,0.9
2020-07-26T00:00:00.000Z,0.9
2020-07-27T00:00:00.000Z,0.92
2020-07-28T00:00:00.000Z,0.97
2020-07-29T00:00:00.000Z,0.99
2020-07-30T00:00:00.000Z,1.01
2020-07-31T00:00:00.000Z,1.01
2020-08-01T00:00:00.000Z,1.02
2020-08-02T00:00:00.000Z,1.01
2020-08-03T00:00:00.000Z,1.01
2020-08-04T00:00:00.000Z,0.97
2020-08-05T00:00:00.000Z,0.97
2020-08-06T00:00:00.000Z,0.99
2020-08-07T00:00:00.000Z,0.99
2020-08-08T00:00:00.000Z,0.98
2020-08-09T00:00:00.000Z,0.99
2020-08-10T00:00:00.000Z,0.98
2020-08-11T00:00:00.000Z,0.99
2020-08-12T00:00:00.000Z,0.99
2020-08-13T00:00:00.000Z,0.98
2020-08-14T00:00:00.000Z,1.01
2020-08-15T00:00:00.000Z,1.04
2020-08-16T00:00:00.000Z,1.07
2020-08-17T00:00:00.000Z,1.11
2020-08-18T00:00:00.000Z,1.12
2020-08-19T00:00:00.000Z,1.13
2020-08-20T00:00:00.000Z,1.13
2020-08-21T00:00:00.000Z,1.12
2020-08-22T00:00:00.000Z,1.11
2020-08-23T00:00:00.000Z,1.18
2020-08-24T00:00:00.000Z,1.18
2020-08-25T00:00:00.000Z,1.2
2020-08-26T00:00:00.000Z,1.22
2020-08-27T00:00:00.000Z,1.26
2020-08-28T00:00:00.000Z,1.28
2020-08-29T00:00:00.000Z,1.29
2020-08-30T00:00:00.000Z,1.25
2020-08-31T00:00:00.000Z,1.26
2020-09-01T00:00:00.000Z,1.27
2020-09-02T00:00:00.000Z,1.29
2020-09-03T00:00:00.000Z,1.29
2020-09-04T00:00:00.000Z,1.27
2020-09-05T00:00:00.000Z,1.29
2020-09-06T00:00:00.000Z,1.24
2020-09-07T00:00:00.000Z,1.22
2020-09-08T00:00:00.000Z,1.21
2020-09-09T00:00:00.000Z,1.21
2020-09-10T00:00:00.000Z,1.16
2020-09-11T00:00:00.000Z,1.08
2020-09-12T00:00:00.000Z,1.1
2020-09-13T00:00:00.000Z,1.15
2020-09-14T00:00:00.000Z,1.2
2020-09-15T00:00:00.000Z,1.23
2020-09-16T00:00:00.000Z,1.25
2020-09-17T00:00:00.000Z,1.25
2020-09-18T00:00:00.000Z,1.14
2020-09-19T00:00:00.000Z,1.04
2020-09-20T00:00:00.000Z,1.08
2020-09-21T00:00:00.000Z,1.05
2020-09-22T00:00:00.000Z,1
2020-09-23T00:00:00.000Z,0.93
2020-09-24T00:00:00.000Z,0.93
2020-09-25T00:00:00.000Z,1.05
2020-09-26T00:00:00.000Z,1.04
2020-09-27T00:00:00.000Z,0.91
2020-09-28T00:00:00.000Z,0.82
