section,female,male,period
0-9,"{'amount': 5, 'percentage': 0}","{'amount': 7, 'percentage': 0.1}",מתחילת קורונה
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",3 חודשים
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
0-9,"{'amount': 2, 'percentage': 0}","{'amount': 5, 'percentage': 0.1}",שנה
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",6 חודשים
10-19,"{'amount': 8, 'percentage': 0.1}","{'amount': 7, 'percentage': 0.1}",מתחילת קורונה
10-19,"{'amount': 4, 'percentage': 0.1}","{'amount': 5, 'percentage': 0.1}",שנה
10-19,"{'amount': 1, 'percentage': 0.1}","{'amount': 0, 'percentage': 0}",6 חודשים
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",3 חודשים
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
20-29,"{'amount': 0, 'percentage': 0}","{'amount': 2, 'percentage': 0.2}",6 חודשים
20-29,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.1}",3 חודשים
20-29,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
20-29,"{'amount': 22, 'percentage': 0.2}","{'amount': 25, 'percentage': 0.2}",מתחילת קורונה
20-29,"{'amount': 8, 'percentage': 0.2}","{'amount': 6, 'percentage': 0.1}",שנה
30-39,"{'amount': 40, 'percentage': 0.3}","{'amount': 53, 'percentage': 0.5}",מתחילת קורונה
30-39,"{'amount': 2, 'percentage': 0.3}","{'amount': 0, 'percentage': 0}",3 חודשים
30-39,"{'amount': 1, 'percentage': 0.5}","{'amount': 0, 'percentage': 0}",חודש אחרון
30-39,"{'amount': 17, 'percentage': 0.4}","{'amount': 21, 'percentage': 0.5}",שנה
30-39,"{'amount': 4, 'percentage': 0.3}","{'amount': 4, 'percentage': 0.3}",6 חודשים
40-49,"{'amount': 79, 'percentage': 0.7}","{'amount': 124, 'percentage': 1.1}",מתחילת קורונה
40-49,"{'amount': 3, 'percentage': 0.4}","{'amount': 4, 'percentage': 0.5}",3 חודשים
40-49,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
40-49,"{'amount': 24, 'percentage': 0.5}","{'amount': 53, 'percentage': 1.2}",שנה
40-49,"{'amount': 5, 'percentage': 0.4}","{'amount': 8, 'percentage': 0.6}",6 חודשים
50-59,"{'amount': 204, 'percentage': 1.8}","{'amount': 398, 'percentage': 3.4}",מתחילת קורונה
50-59,"{'amount': 73, 'percentage': 1.6}","{'amount': 136, 'percentage': 3}",שנה
50-59,"{'amount': 12, 'percentage': 0.9}","{'amount': 30, 'percentage': 2.3}",6 חודשים
50-59,"{'amount': 5, 'percentage': 0.7}","{'amount': 9, 'percentage': 1.2}",3 חודשים
50-59,"{'amount': 2, 'percentage': 1.1}","{'amount': 4, 'percentage': 2.1}",חודש אחרון
60-69,"{'amount': 568, 'percentage': 4.9}","{'amount': 1034, 'percentage': 8.9}",מתחילת קורונה
60-69,"{'amount': 231, 'percentage': 5.1}","{'amount': 341, 'percentage': 7.5}",שנה
60-69,"{'amount': 41, 'percentage': 3.1}","{'amount': 82, 'percentage': 6.2}",6 חודשים
60-69,"{'amount': 11, 'percentage': 1.5}","{'amount': 37, 'percentage': 5.1}",3 חודשים
60-69,"{'amount': 4, 'percentage': 2.1}","{'amount': 6, 'percentage': 3.2}",חודש אחרון
70-79,"{'amount': 1108, 'percentage': 9.6}","{'amount': 1738, 'percentage': 15}",מתחילת קורונה
70-79,"{'amount': 17, 'percentage': 9}","{'amount': 25, 'percentage': 13.2}",חודש אחרון
70-79,"{'amount': 462, 'percentage': 10.1}","{'amount': 612, 'percentage': 13.4}",שנה
70-79,"{'amount': 126, 'percentage': 9.5}","{'amount': 182, 'percentage': 13.7}",6 חודשים
70-79,"{'amount': 67, 'percentage': 9.2}","{'amount': 97, 'percentage': 13.3}",3 חודשים
80-89,"{'amount': 1879, 'percentage': 16.2}","{'amount': 2040, 'percentage': 17.6}",מתחילת קורונה
80-89,"{'amount': 224, 'percentage': 16.8}","{'amount': 239, 'percentage': 17.9}",6 חודשים
80-89,"{'amount': 30, 'percentage': 15.9}","{'amount': 35, 'percentage': 18.5}",חודש אחרון
80-89,"{'amount': 769, 'percentage': 16.8}","{'amount': 806, 'percentage': 17.7}",שנה
80-89,"{'amount': 132, 'percentage': 18.1}","{'amount': 131, 'percentage': 18}",3 חודשים
90+,"{'amount': 201, 'percentage': 15.1}","{'amount': 171, 'percentage': 12.8}",6 חודשים
90+,"{'amount': 1276, 'percentage': 11}","{'amount': 977, 'percentage': 8.4}",מתחילת קורונה
90+,"{'amount': 550, 'percentage': 12}","{'amount': 441, 'percentage': 9.7}",שנה
90+,"{'amount': 126, 'percentage': 17.3}","{'amount': 104, 'percentage': 14.3}",3 חודשים
90+,"{'amount': 37, 'percentage': 19.6}","{'amount': 28, 'percentage': 14.8}",חודש אחרון
