gender,age,period,count_verified,verified_percentage,count_dead,dead_percentage,count_breathe,breathe_percentage,count_severe,severe_percentage,count_hospitalized,hospitalized_percentage
זכר,0-9,מתחילת קורונה,441189,9.6,7,0.1,34,0.5,124,0.4,3259,3.7
זכר,0-9,שנה,350474,9.9,5,0.1,25,1,83,0.6,2244,5.1
זכר,0-9,3 חודשים,22446,4.6,0,0,5,1.1,9,0.3,478,4
זכר,0-9,חודש אחרון,2074,3.5,0,0,3,1.5,3,0.3,121,3.4
זכר,0-9,6 חודשים,57164,5.8,0,0,10,1.1,27,0.6,832,4.4
נקבה,0-9,מתחילת קורונה,362100,7.9,5,0,17,0.3,78,0.2,2631,3
נקבה,0-9,חודש אחרון,1910,3.2,0,0,1,0.5,2,0.2,95,2.6
נקבה,0-9,שנה,284659,8,2,0,10,0.4,55,0.4,1805,4.1
נקבה,0-9,3 חודשים,19266,4,0,0,1,0.2,9,0.3,373,3.1
נקבה,0-9,6 חודשים,46875,4.8,0,0,4,0.4,16,0.4,652,3.5
זכר,10-19,מתחילת קורונה,438806,9.6,7,0.1,25,0.4,82,0.3,1079,1.2
זכר,10-19,חודש אחרון,1582,2.7,0,0,1,0.5,1,0.1,30,0.8
זכר,10-19,3 חודשים,19716,4,0,0,1,0.2,4,0.1,108,0.9
זכר,10-19,6 חודשים,49866,5.1,0,0,3,0.3,8,0.2,186,1
זכר,10-19,שנה,323960,9.1,5,0.1,16,0.6,41,0.3,577,1.3
נקבה,10-19,מתחילת קורונה,428377,9.4,8,0.1,23,0.4,81,0.3,1212,1.4
נקבה,10-19,שנה,325992,9.2,4,0.1,15,0.6,32,0.2,643,1.5
נקבה,10-19,3 חודשים,20561,4.2,0,0,0,0,5,0.2,123,1
נקבה,10-19,חודש אחרון,1884,3.2,0,0,0,0,0,0,24,0.7
נקבה,10-19,6 חודשים,51470,5.2,1,0.1,3,0.3,9,0.2,197,1
זכר,20-29,מתחילת קורונה,268130,5.9,25,0.2,57,0.9,250,0.8,1665,1.9
זכר,20-29,6 חודשים,48074,4.9,2,0.1,7,0.8,18,0.4,240,1.3
זכר,20-29,שנה,185163,5.2,6,0.1,23,0.9,89,0.7,681,1.5
זכר,20-29,חודש אחרון,2563,4.3,0,0,1,0.5,4,0.5,44,1.2
זכר,20-29,3 חודשים,21980,4.5,1,0.1,3,0.7,8,0.3,142,1.2
נקבה,20-29,מתחילת קורונה,380060,8.3,22,0.2,62,1,284,0.9,5404,6.2
נקבה,20-29,שנה,281587,7.9,8,0.2,23,0.9,102,0.8,2803,6.4
נקבה,20-29,חודש אחרון,3660,6.2,0,0,2,1,6,0.7,128,3.5
נקבה,20-29,3 חודשים,30417,6.2,0,0,6,1.4,14,0.5,522,4.3
נקבה,20-29,6 חודשים,69376,7,0,0,6,0.7,17,0.4,827,4.4
זכר,30-39,מתחילת קורונה,268057,5.9,53,0.5,106,1.6,641,2,2347,2.7
זכר,30-39,שנה,203473,5.7,21,0.5,47,1.8,201,1.5,941,2.1
זכר,30-39,חודש אחרון,3118,5.3,0,0,1,0.5,6,0.7,45,1.2
זכר,30-39,3 חודשים,27391,5.6,0,0,3,0.7,14,0.5,181,1.5
זכר,30-39,6 חודשים,59569,6,4,0.3,18,2,31,0.7,309,1.6
נקבה,30-39,מתחילת קורונה,386940,8.4,40,0.3,112,1.7,600,1.9,5469,6.3
נקבה,30-39,שנה,309222,8.7,17,0.4,40,1.6,192,1.5,2875,6.5
נקבה,30-39,3 חודשים,37525,7.7,2,0.3,9,2,8,0.3,510,4.2
נקבה,30-39,חודש אחרון,4283,7.3,1,0.5,4,2,3,0.3,119,3.3
נקבה,30-39,6 חודשים,81748,8.3,4,0.3,17,1.8,24,0.5,875,4.7
זכר,40-49,מתחילת קורונה,242620,5.3,124,1.1,270,4.2,1432,4.5,3726,4.3
זכר,40-49,6 חודשים,56547,5.7,8,0.6,22,2.4,63,1.4,389,2.1
זכר,40-49,שנה,187840,5.3,53,1.2,103,4,423,3.2,1292,2.9
זכר,40-49,חודש אחרון,3084,5.2,0,0,3,1.5,6,0.7,65,1.8
זכר,40-49,3 חודשים,26475,5.4,4,0.6,10,2.3,32,1.1,247,2.1
נקבה,40-49,מתחילת קורונה,347762,7.6,79,0.7,142,2.2,983,3.1,3693,4.2
נקבה,40-49,שנה,280367,7.9,24,0.5,52,2,305,2.3,1453,3.3
נקבה,40-49,3 חודשים,38838,8,3,0.4,5,1.1,22,0.8,242,2
נקבה,40-49,חודש אחרון,4436,7.5,0,0,1,0.5,6,0.7,63,1.7
נקבה,40-49,6 חודשים,82260,8.4,5,0.4,11,1.2,39,0.9,410,2.2
זכר,50-59,מתחילת קורונה,170096,3.7,398,3.4,565,8.8,2300,7.3,5150,5.9
זכר,50-59,שנה,130204,3.7,136,3,197,7.7,675,5.1,1879,4.3
זכר,50-59,3 חודשים,24136,5,9,1.2,19,4.3,77,2.7,402,3.3
זכר,50-59,חודש אחרון,2884,4.9,4,2.1,14,7.1,30,3.4,129,3.6
זכר,50-59,6 חודשים,46922,4.8,30,2.2,59,6.4,137,3,693,3.7
נקבה,50-59,מתחילת קורונה,243942,5.3,203,1.8,266,4.1,1623,5.1,4105,4.7
נקבה,50-59,שנה,196519,5.5,72,1.6,107,4.2,488,3.7,1516,3.4
נקבה,50-59,3 חודשים,37923,7.8,4,0.6,14,3.2,58,2,316,2.6
נקבה,50-59,חודש אחרון,4544,7.7,1,0.5,8,4,16,1.8,99,2.7
נקבה,50-59,6 חודשים,73612,7.5,12,0.9,25,2.7,95,2.1,492,2.6
זכר,60-69,מתחילת קורונה,131306,2.9,1034,8.9,987,15.3,3488,11,7201,8.2
זכר,60-69,6 חודשים,47692,4.8,83,6.2,137,14.8,375,8.2,1388,7.4
זכר,60-69,שנה,103791,2.9,347,7.6,325,12.8,1199,9.1,3113,7.1
זכר,60-69,חודש אחרון,3602,6.1,9,4.6,31,15.7,70,7.9,257,7.1
זכר,60-69,3 חודשים,27580,5.7,37,5.1,65,14.6,229,8,862,7.2
נקבה,60-69,מתחילת קורונה,176928,3.9,568,4.9,527,8.2,2355,7.4,5333,6.1
נקבה,60-69,שנה,147355,4.1,234,5.1,210,8.2,883,6.7,2398,5.4
נקבה,60-69,3 חודשים,39876,8.2,12,1.7,27,6.1,146,5.1,664,5.5
נקבה,60-69,חודש אחרון,5179,8.8,4,2.1,11,5.6,42,4.8,200,5.5
נקבה,60-69,6 חודשים,69994,7.1,44,3.3,62,6.7,230,5,1046,5.6
זכר,70-79,מתחילת קורונה,86744,1.9,1738,15,1100,17,4067,12.8,8219,9.4
זכר,70-79,שנה,72625,2,616,13.4,396,15.6,1698,12.9,4293,9.7
