name,score,governmentColor,sickTo10000,positiveTests,growthLastWeek,activeSick,color,date,firstDose,secondDose,thirdDose,activeSickTo1000
Sha'ab,4.2,ירוק,2.8,1,0, 0 ,ירוק,2022-08-27T00:00:00.000Z,71.56,62.27,36.86,0.0
Jisr Az-Zarqa,3.1,ירוק,1.3,1,0,קטן מ-15,ירוק,2022-08-27T00:00:00.000Z,73.27,62.27,40.71,
Reine,3.5,ירוק,3.1,5,-33,17,ירוק,2022-08-27T00:00:00.000Z,54.21,46.87,25.81,8.9
Rame,4.3,ירוק,5.2,8,0,קטן מ-15,ירוק,2022-08-27T00:00:00.000Z,81.33,72.28,49.29,
Azor,4.2,ירוק,9.8,8,-7,27,ירוק,2022-08-27T00:00:00.000Z,70.08,65.80,50.54,20.4
Yad Binyamin,4.3,ירוק,2.4,9,0,קטן מ-15,ירוק,2022-08-27T00:00:00.000Z,59.21,53.19,36.24,
Savyon,5.6,צהוב,19.8,27,0,קטן מ-15,צהוב,2022-08-27T00:00:00.000Z,מעל 90%,מעל 90%,83.83,
Jaljulye,4.3,ירוק,4.9,9,0,קטן מ-15,ירוק,2022-08-27T00:00:00.000Z,60.90,52.46,29.55,
Rosh Pinna,4.9,צהוב,6.2,16,0,קטן מ-15,צהוב,2022-08-27T00:00:00.000Z,73.43,70.62,55.55,
Mazkeret Batya,5.3,ירוק,11.3,18,70,19,צהוב,2022-08-27T00:00:00.000Z,מעל 90%,86.24,66.49,12.6
Ofaqim,4.9,צהוב,5.3,7,-34,25,צהוב,2022-08-27T00:00:00.000Z,65.51,58.13,40.68,7.7
Elyakhin,5.3,צהוב,5.8,7,0,קטן מ-15,צהוב,2022-08-27T00:00:00.000Z,72.42,69.04,52.22,
Yavne'el,4.7,צהוב,11.5,15,0,קטן מ-15,צהוב,2022-08-27T00:00:00.000Z,41.26,36.78,25.18,
Kefar Tavor,6.4,צהוב,25.0,38,10,קטן מ-15,כתום,2022-08-27T00:00:00.000Z,87.80,83.53,66.44,
Atlit,3.7,ירוק,5.1,16,0,קטן מ-15,ירוק,2022-08-27T00:00:00.000Z,73.95,70.51,53.73,
Buq'ata,2,ירוק,0.0,0,0,קטן מ-15,ירוק,2022-08-27T00:00:00.000Z,82.43,68.98,45.98,
Haspin,2,ירוק,0.0,0,0, 0 ,ירוק,2022-08-27T00:00:00.000Z,51.58,46.61,32.91,0.0
Qazrin,4.9,צהוב,9.3,20,0,קטן מ-15,צהוב,2022-08-27T00:00:00.000Z,72.85,69.56,54.54,
Majdal Shams,4,צהוב,1.8,8,0,קטן מ-15,ירוק,2022-08-27T00:00:00.000Z,74.63,63.52,41.40,
Mas'ade,3.1,ירוק,0.0,0,0, 0 ,ירוק,2022-08-27T00:00:00.000Z,78.16,68.02,42.05,0.0
Ghajar,4.5,ירוק,3.7,11,0,קטן מ-15,ירוק,2022-08-27T00:00:00.000Z,55.68,52.19,30.29,
Ein Qiniyye,2,ירוק,0.0,0,0,קטן מ-15,ירוק,2022-08-27T00:00:00.000Z,83.95,72.84,50.72,
Tel Aviv - Yafo,4.9,צהוב,8.1,11,-21,754,צהוב,2022-08-27T00:00:00.000Z,76.94,73.50,59.51,15.0
Bi'ne,5.8,צהוב,13.1,10,10,קטן מ-15,צהוב,2022-08-27T00:00:00.000Z,61.37,51.54,28.88,
Julis,4,צהוב,3.1,6,0,קטן מ-15,ירוק,2022-08-27T00:00:00.000Z,76.67,68.97,49.92,
Jish(Gush Halav),2.4,ירוק,0.0,0,0,קטן מ-15,ירוק,2022-08-27T00:00:00.000Z,76.06,69.81,50.93,
Daburiyya,3.7,ירוק,0.9,1,0,קטן מ-15,ירוק,2022-08-27T00:00:00.000Z,68.74,59.29,37.54,
Deir Al-Asad,5,צהוב,8.7,10,10,21,צהוב,2022-08-27T00:00:00.000Z,70.64,59.21,37.10,16.5
Deir Hanna,4.2,צהוב,7.6,4,-16,16,ירוק,2022-08-27T00:00:00.000Z,73.28,62.15,38.01,15.3
