section,female,male,period
0-9,"{'amount': 2, 'percentage': 0}","{'amount': 5, 'percentage': 0.1}",שנה
0-9,"{'amount': 2, 'percentage': 0.1}","{'amount': 4, 'percentage': 0.2}",6 חודשים
0-9,"{'amount': 1, 'percentage': 0.1}","{'amount': 0, 'percentage': 0}",3 חודשים
0-9,"{'amount': 5, 'percentage': 0}","{'amount': 7, 'percentage': 0.1}",מתחילת קורונה
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
10-19,"{'amount': 3, 'percentage': 0.1}","{'amount': 4, 'percentage': 0.2}",6 חודשים
10-19,"{'amount': 1, 'percentage': 0.8}","{'amount': 0, 'percentage': 0}",חודש אחרון
10-19,"{'amount': 5, 'percentage': 0.1}","{'amount': 5, 'percentage': 0.1}",שנה
10-19,"{'amount': 1, 'percentage': 0.1}","{'amount': 1, 'percentage': 0.1}",3 חודשים
10-19,"{'amount': 8, 'percentage': 0.1}","{'amount': 7, 'percentage': 0.1}",מתחילת קורונה
20-29,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
20-29,"{'amount': 9, 'percentage': 0.2}","{'amount': 5, 'percentage': 0.1}",שנה
20-29,"{'amount': 6, 'percentage': 0.2}","{'amount': 2, 'percentage': 0.1}",6 חודשים
20-29,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.1}",3 חודשים
20-29,"{'amount': 22, 'percentage': 0.2}","{'amount': 24, 'percentage': 0.2}",מתחילת קורונה
30-39,"{'amount': 17, 'percentage': 0.4}","{'amount': 25, 'percentage': 0.6}",שנה
30-39,"{'amount': 6, 'percentage': 0.2}","{'amount': 12, 'percentage': 0.5}",6 חודשים
30-39,"{'amount': 4, 'percentage': 0.4}","{'amount': 4, 'percentage': 0.4}",3 חודשים
30-39,"{'amount': 38, 'percentage': 0.4}","{'amount': 53, 'percentage': 0.5}",מתחילת קורונה
30-39,"{'amount': 1, 'percentage': 0.8}","{'amount': 0, 'percentage': 0}",חודש אחרון
40-49,"{'amount': 1, 'percentage': 0.8}","{'amount': 0, 'percentage': 0}",חודש אחרון
40-49,"{'amount': 21, 'percentage': 0.5}","{'amount': 52, 'percentage': 1.2}",שנה
40-49,"{'amount': 12, 'percentage': 0.5}","{'amount': 21, 'percentage': 0.8}",6 חודשים
40-49,"{'amount': 3, 'percentage': 0.3}","{'amount': 6, 'percentage': 0.6}",3 חודשים
40-49,"{'amount': 77, 'percentage': 0.7}","{'amount': 120, 'percentage': 1.1}",מתחילת קורונה
50-59,"{'amount': 1, 'percentage': 0.8}","{'amount': 6, 'percentage': 4.7}",חודש אחרון
50-59,"{'amount': 41, 'percentage': 1.6}","{'amount': 69, 'percentage': 2.6}",6 חודשים
50-59,"{'amount': 78, 'percentage': 1.8}","{'amount': 134, 'percentage': 3.1}",שנה
50-59,"{'amount': 11, 'percentage': 1.1}","{'amount': 28, 'percentage': 2.9}",3 חודשים
50-59,"{'amount': 199, 'percentage': 1.8}","{'amount': 385, 'percentage': 3.6}",מתחילת קורונה
60-69,"{'amount': 3, 'percentage': 2.4}","{'amount': 4, 'percentage': 3.1}",חודש אחרון
60-69,"{'amount': 250, 'percentage': 5.7}","{'amount': 353, 'percentage': 8}",שנה
60-69,"{'amount': 110, 'percentage': 4.2}","{'amount': 183, 'percentage': 7}",6 חודשים
60-69,"{'amount': 48, 'percentage': 5}","{'amount': 76, 'percentage': 7.9}",3 חודשים
60-69,"{'amount': 552, 'percentage': 5.1}","{'amount': 995, 'percentage': 9.2}",מתחילת קורונה
70-79,"{'amount': 17, 'percentage': 13.4}","{'amount': 13, 'percentage': 10.2}",חודש אחרון
70-79,"{'amount': 251, 'percentage': 9.5}","{'amount': 345, 'percentage': 13.1}",6 חודשים
70-79,"{'amount': 437, 'percentage': 9.9}","{'amount': 604, 'percentage': 13.8}",שנה
70-79,"{'amount': 100, 'percentage': 10.4}","{'amount': 138, 'percentage': 14.3}",3 חודשים
70-79,"{'amount': 1034, 'percentage': 9.6}","{'amount': 1633, 'percentage': 15.1}",מתחילת קורונה
80-89,"{'amount': 750, 'percentage': 17.1}","{'amount': 786, 'percentage': 17.9}",שנה
80-89,"{'amount': 475, 'percentage': 18}","{'amount': 496, 'percentage': 18.8}",6 חודשים
80-89,"{'amount': 155, 'percentage': 16.1}","{'amount': 172, 'percentage': 17.9}",3 חודשים
80-89,"{'amount': 1740, 'percentage': 16.1}","{'amount': 1900, 'percentage': 17.6}",מתחילת קורונה
80-89,"{'amount': 23, 'percentage': 18.1}","{'amount': 14, 'percentage': 11}",חודש אחרון
90+,"{'amount': 477, 'percentage': 10.9}","{'amount': 377, 'percentage': 8.6}",שנה
90+,"{'amount': 315, 'percentage': 12}","{'amount': 276, 'percentage': 10.5}",6 חודשים
90+,"{'amount': 113, 'percentage': 11.7}","{'amount': 101, 'percentage': 10.5}",3 חודשים
90+,"{'amount': 1141, 'percentage': 10.6}","{'amount': 866, 'percentage': 8}",מתחילת קורונה
90+,"{'amount': 26, 'percentage': 20.5}","{'amount': 17, 'percentage': 13.4}",חודש אחרון
