instituteDesc,occupancy,gOccupancy,occupancyDate
רבין ק. השרון,60.5,64.3,2022-05-17T00:00:00.000Z
יוספטל,68.8,60,2022-05-17T00:00:00.000Z
סורוקה,72.9,83.3,2022-05-17T00:00:00.000Z
הכרמל,74.5,83.4,2022-05-17T00:00:00.000Z
מאיר,76,80.2,2022-05-17T00:00:00.000Z
לניאדו,80.8,79.7,2022-05-17T00:00:00.000Z
וולפסון,81.6,72.8,2022-05-17T00:00:00.000Z
הדסה הר הצופים,83.3,87.5,2022-05-17T00:00:00.000Z
פוריה,88.5,83.9,2022-05-17T00:00:00.000Z
בני ציון,90.1,88.9,2022-05-17T00:00:00.000Z
שמיר,90.3,71.9,2022-05-17T00:00:00.000Z
שיבא,98.7,108.7,2022-05-17T00:00:00.000Z
ברזילי,101,79.6,2022-05-17T00:00:00.000Z
המרכזי בעמק,102.6,80.9,2022-05-17T00:00:00.000Z
זיו צפת,103.1,74.4,2022-05-17T00:00:00.000Z
קפלן,103.3,89.4,2022-05-17T00:00:00.000Z
נהריה,105.8,89.6,2022-05-17T00:00:00.000Z
הלל יפה,106.8,93.8,2022-05-17T00:00:00.000Z
"רמב""ם",109.1,90.9,2022-05-17T00:00:00.000Z
רבין ק. בילינסון,110.6,93.3,2022-05-17T00:00:00.000Z
הדסה עין כרם,124.3,98.1,2022-05-17T00:00:00.000Z
אסותא אשדוד,125.4,100.3,2022-05-17T00:00:00.000Z
