age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,334088,258577,635971,52.5,40.7,301,0
16-19,494129,428176,591331,83.6,72.4,121909,20.6
20-29,1066059,964156,1319364,80.8,73.1,408535,31
30-39,1028920,951329,1207243,85.2,78.8,458708,38
40-49,973408,909376,1110965,87.6,81.9,554861,49.9
50-59,777414,733798,874608,88.9,83.9,523430,59.8
60-69,682639,656040,747217,91.4,87.8,535873,71.7
70-79,473669,462226,526929,89.9,87.7,418067,79.3
80-89,214385,208570,238729,89.8,87.4,182409,76.4
90+,48736,46907,58687,83,79.9,39275,66.9
