period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,118874,32592,27.42
3_Month,0-9,1129664,464317,41.1
6_Month,0-9,1264486,493840,39.05
1_Year,0-9,1482944,595635,40.17
All,0-9,1674797,703067,41.98
1_Month,10-19,121225,35220,29.05
3_Month,10-19,1032585,506193,49.02
6_Month,10-19,1163461,528817,45.45
1_Year,10-19,1369277,604793,44.17
All,10-19,1586251,749736,47.26
1_Month,20-29,154859,34812,22.48
3_Month,20-29,813150,340034,41.82
6_Month,20-29,980279,350691,35.77
1_Year,20-29,1174664,406342,34.59
All,20-29,1393202,529013,37.97
1_Month,30-39,149587,36238,24.23
3_Month,30-39,798669,361129,45.22
6_Month,30-39,937091,373348,39.84
1_Year,30-39,1111080,429595,38.66
All,30-39,1287901,516944,40.14
1_Month,40-49,147522,34817,23.6
3_Month,40-49,734936,331429,45.1
6_Month,40-49,849184,340537,40.1
1_Year,40-49,990798,384412,38.8
All,40-49,1140793,459531,40.28
1_Month,50-59,131786,25508,19.36
3_Month,50-59,542187,216005,39.84
6_Month,50-59,641211,220458,34.38
1_Year,50-59,749488,245843,32.8
All,50-59,872926,303833,34.81
1_Month,60-69,115982,18301,15.78
3_Month,60-69,437564,142990,32.68
6_Month,60-69,519064,145737,28.08
1_Year,60-69,607327,162006,26.68
All,60-69,705576,200783,28.46
1_Month,70-79,78461,11173,14.24
3_Month,70-79,266752,74657,27.99
6_Month,70-79,318603,76054,23.87
1_Year,70-79,376822,85000,22.56
All,70-79,440554,105515,23.95
1_Month,80-89,34835,3810,10.94
3_Month,80-89,102632,28630,27.9
6_Month,80-89,121028,29257,24.17
1_Year,80-89,148264,33550,22.63
All,80-89,188119,44535,23.67
1_Month,90+,9612,822,8.55
3_Month,90+,24869,7410,29.8
6_Month,90+,29060,7564,26.03
1_Year,90+,36094,8720,24.16
All,90+,49238,12386,25.16
