cityDesc,activeSickKids,activeSickKidsPerc,totalActiveSick,activeSickNormalized,cityScore,cityColour,totalPopulation
אבו ג'ווייעד (שבט),קטן מ-15,אין מידע,34,73.13,3.23,ירוק,4649
אבו גוש,15,19.23,78,99.21,4.55,צהוב,7862
אבו סנאן,קטן מ-15,אין מידע,48,33.55,4.23,ירוק,14306
אבו קורינאת (שבט),קטן מ-15,אין מידע,16,24.02,5.56,צהוב,6661
אבן יהודה,82,42.27,194,138.22,8.59,אדום,14036
אום אל-פחם,73,37.82,193,34.03,4.24,ירוק,56713
אופקים,57,26.03,219,67.64,7.97,אדום,32378
אור יהודה,51,23.50,217,59.31,7.54,אדום,36587
אור עקיבא,35,26.92,130,66.95,6.66,כתום,19417
אורנית,27,32.93,82,91.01,7.48,כתום,9010
אזור,33,33.67,98,74.09,8.64,אדום,13228
אחוזת ברק,24,42.86,56,233.53,9.72,אדום,2398
אילת,104,29.21,356,67.80,6.97,כתום,52507
אכסאל,23,34.33,67,44.55,4.53,צהוב,15039
אלון שבות,21,53.85,39,125.36,7.95,אדום,3111
אליכין,קטן מ-15,אין מידע,35,100.98,8.91,אדום,3466
אלעד,קטן מ-15,אין מידע,50,10.17,3.8,ירוק,49179
אלפי מנשה,32,41.56,77,96.12,8.28,אדום,8011
אלקנה,22,34.92,63,159.13,8.89,אדום,3959
אעבלין,קטן מ-15,אין מידע,46,34.04,5.6,צהוב,13515
אעצם (שבט),קטן מ-15,אין מידע,26,23.96,5.38,צהוב,10853
אפרת,31,44.29,70,61.30,8.15,אדום,11420
אריאל,51,32.69,156,76.14,8.82,אדום,20488
אשדוד,273,27.11,1007,44.49,6.88,כתום,226329
אשקלון,330,28.52,1157,79.01,7,כתום,146442
באקה אל-גרביה,45,32.14,140,45.98,4.34,ירוק,30448
באר יעקב,74,42.53,174,60.38,7.12,כתום,28818
באר שבע,591,32.15,1838,87.26,7.73,אדום,210624
בועיינה-נוג'ידאת,קטן מ-15,אין מידע,33,32.96,3.7,ירוק,10011
בוקעאתא,קטן מ-15,אין מידע,21,31.45,3.22,ירוק,6677
ביר אל-מכסור,קטן מ-15,אין מידע,29,29.81,5.69,צהוב,9729
בית אל,קטן מ-15,אין מידע,18,30.37,6.74,כתום,5926
בית אריה,קטן מ-15,אין מידע,35,65.52,7.12,כתום,5342
בית ג'ן,קטן מ-15,אין מידע,18,14.79,5.38,צהוב,12169
בית דגן,קטן מ-15,אין מידע,40,54.81,8.12,אדום,7298
בית חשמונאי,קטן מ-15,אין מידע,17,77.66,7.99,אדום,2189
בית יצחק-שער חפר,קטן מ-15,אין מידע,22,102.61,6.71,כתום,2144
בית שאן,34,20.12,169,89.04,6.46,כתום,18980
בית שמש,39,21.31,183,13.84,4.19,ירוק,132210
ביתר עילית,קטן מ-15,אין מידע,17,2.77,1.15,ירוק,61297
בני ברק,56,19.58,286,13.75,3.09,ירוק,208031
"בני עי""ש",קטן מ-15,אין מידע,36,52.16,6.51,כתום,6902
בנימינה-גבעת עדה,68,39.31,173,108.32,7.88,אדום,15971
"בסמ""ה",קטן מ-15,אין מידע,56,54.62,4.27,ירוק,10252
בסמת טבעון,קטן מ-15,אין מידע,34,42.49,3.2,ירוק,8001
בענה,קטן מ-15,אין מידע,18,21.38,3.09,ירוק,8421
ברכה,קטן מ-15,אין מידע,19,65.79,9.07,אדום,2888
בת חפר,קטן מ-15,אין מידע,40,75.79,8.47,אדום,5278
בת ים,142,19.69,721,56.43,6.72,כתום,127772
ג'דיידה-מכר,קטן מ-15,אין מידע,25,11.72,4.2,ירוק,21331
ג'ולס,קטן מ-15,אין מידע,30,45.84,7.2,כתום,6545
ג'לג'וליה,15,34.88,43,41.77,5.05,צהוב,10295
ג'סר א-זרקא,32,49.23,65,43.01,4.03,ירוק,15113
ג'ש (גוש חלב),קטן מ-15,אין מידע,19,60.90,7.8,אדום,3120
ג'ת,קטן מ-15,אין מידע,56,45.71,3.51,ירוק,12252
גבע בנימין,קטן מ-15,אין מידע,18,31.27,5.27,צהוב,5757
גבעת אבני,קטן מ-15,אין מידע,21,100.96,7.91,אדום,2080
גבעת ברנר,קטן מ-15,אין מידע,19,71.29,8.87,אדום,2665
גבעת זאב,17,24.64,69,35.93,5.62,צהוב,19205
גבעת שמואל,76,30.52,249,91.42,7.7,אדום,27236
גבעתיים,136,29.89,455,74.75,7.71,אדום,60872
גדרה,66,32.04,206,71.52,7.69,אדום,28805
גן יבנה,51,34.93,146,61.12,7.9,אדום,23887
גן נר,קטן מ-15,אין מידע,29,107.41,6.87,כתום,2700
גני תקווה,87,38.16,228,106.01,7.66,אדום,21508
דאלית אל-כרמל,קטן מ-15,אין מידע,43,24.07,5.65,צהוב,17862
דבוריה,קטן מ-15,אין מידע,62,58.04,2.54,ירוק,10682
דייר חנא,17,35.42,48,45.89,6.15,כתום,10459
