instituteDesc,occupancy,gOccupancy,occupancyDate
רבין ק. השרון,53.5,60.6,2022-03-07T00:00:00.000Z
יוספטל,68.8,50.8,2022-03-07T00:00:00.000Z
הכרמל,70.8,78.1,2022-03-07T00:00:00.000Z
וולפסון,70.5,78.6,2022-03-07T00:00:00.000Z
סורוקה,73.3,87.3,2022-03-07T00:00:00.000Z
פוריה,75.6,73.8,2022-03-07T00:00:00.000Z
המרכזי בעמק,83.9,72.1,2022-03-07T00:00:00.000Z
הדסה הר הצופים,88.9,81.6,2022-03-07T00:00:00.000Z
בני ציון,89.3,92.6,2022-03-07T00:00:00.000Z
מאיר,93,91.6,2022-03-07T00:00:00.000Z
שמיר,94.2,74.5,2022-03-07T00:00:00.000Z
לניאדו,96.2,78.6,2022-03-07T00:00:00.000Z
קפלן,96,87.6,2022-03-07T00:00:00.000Z
ברזילי,98.4,85.6,2022-03-07T00:00:00.000Z
נהריה,98.9,90.4,2022-03-07T00:00:00.000Z
"רמב""ם",101.5,91.9,2022-03-07T00:00:00.000Z
זיו צפת,103.1,74.4,2022-03-07T00:00:00.000Z
הלל יפה,120.5,99.2,2022-03-07T00:00:00.000Z
רבין ק. בילינסון,123.3,99.8,2022-03-07T00:00:00.000Z
הדסה עין כרם,135.9,99.2,2022-03-07T00:00:00.000Z
