gender,age,period,count_verified,verified_percentage,count_dead,dead_percentage,count_breathe,breathe_percentage,count_severe,severe_percentage
זכר,0-9,3 חודשים,254840,11.1,4,0.2,15,1.3,42,0.7
זכר,0-9,6 חודשים,290816,11.6,4,0.1,19,1.1,57,0.7
זכר,0-9,חודש אחרון,68389,12.7,2,0.2,12,1.7,18,0.6
זכר,0-9,שנה,334042,11.7,5,0.1,21,0.8,75,0.6
זכר,0-9,מתחילת קורונה,398284,10.9,7,0.1,29,0.5,100,0.4
נקבה,0-9,מתחילת קורונה,307114,8.4,4,0,14,0.2,66,0.2
נקבה,0-9,3 חודשים,185930,8.1,1,0,7,0.6,32,0.6
נקבה,0-9,6 חודשים,217436,8.7,1,0,7,0.4,40,0.5
נקבה,0-9,חודש אחרון,47482,8.8,0,0,5,0.7,19,0.7
נקבה,0-9,שנה,254517,9,2,0,9,0.3,56,0.4
זכר,10-19,6 חודשים,274928,11,5,0.2,13,0.7,31,0.4
זכר,10-19,3 חודשים,250592,10.9,4,0.2,9,0.8,22,0.4
זכר,10-19,שנה,309714,10.9,5,0.1,15,0.6,42,0.3
זכר,10-19,חודש אחרון,57596,10.7,2,0.2,7,1,9,0.3
זכר,10-19,מתחילת קורונה,402400,11.1,7,0.1,23,0.4,70,0.3
נקבה,10-19,מתחילת קורונה,370131,10.2,7,0.1,20,0.3,62,0.2
נקבה,10-19,6 חודשים,257241,10.3,3,0.1,13,0.7,23,0.3
נקבה,10-19,חודש אחרון,48586,9,1,0.1,4,0.6,7,0.2
נקבה,10-19,שנה,290693,10.2,4,0.1,15,0.6,35,0.3
נקבה,10-19,3 חודשים,232740,10.1,2,0.1,8,0.7,14,0.2
זכר,20-29,6 חודשים,134061,5.3,5,0.2,19,1.1,65,0.8
זכר,20-29,3 חודשים,123862,5.4,2,0.1,8,0.7,34,0.6
זכר,20-29,שנה,155678,5.5,8,0.2,30,1.2,113,0.9
זכר,20-29,חודש אחרון,23738,4.4,1,0.1,5,0.7,15,0.5
זכר,20-29,מתחילת קורונה,224932,6.2,24,0.2,50,0.9,209,0.8
נקבה,20-29,מתחילת קורונה,311148,8.6,21,0.2,54,0.9,247,0.9
נקבה,20-29,שנה,231415,8.1,9,0.2,22,0.8,113,0.9
נקבה,20-29,חודש אחרון,36703,6.8,3,0.3,4,0.6,8,0.3
נקבה,20-29,6 חודשים,204489,8.2,6,0.2,15,0.9,69,0.8
נקבה,20-29,3 חודשים,189782,8.2,5,0.2,12,1.1,23,0.4
זכר,30-39,שנה,162054,5.7,26,0.6,51,2,253,2
זכר,30-39,מתחילת קורונה,213170,5.9,49,0.5,94,1.6,568,2
זכר,30-39,חודש אחרון,30978,5.8,3,0.3,16,2.3,21,0.7
זכר,30-39,6 חודשים,141717,5.6,16,0.5,34,2,149,1.8
זכר,30-39,3 חודשים,130981,5.7,7,0.3,22,2,46,0.8
