coronaOccupancy,isolatedTeam,name,normalOccupancy
101.8867924528302,68,הדסה עין כרם,100.5398101806641
100,40,שערי צדק,89.1891860961914
98.36065573770492,74,נהריה,65.28353881835938
88.46153846153845,17,זיו צפת,65.7060546875
84.84848484848484,54,"רמב""ם",82.2680435180664
81.9672131147541,16,שמיר (אסף הרופא),55.89225769042969
80.95238095238095,81,לניאדו,72.98049926757812
80,92,ברזילי,58
78.33333333333333,25,הלל יפה,73.98058319091797
75,46,שיבא,91.26582336425781
70.37037037037037,6,אסותא אשדוד,
66.66666666666666,4,הסקוטי,92.19857788085938
63.04347826086957,21,בני ציון,78.98383331298828
56.75675675675676,0,סנט ג'וזף,
51.85185185185185,25,מעייני הישועה,91.3738021850586
50,21,הכרמל,64.0081787109375
48,20,קפלן,94.22382354736328
45.58823529411765,27,וולפסון,55.63689422607422
45.454545454545446,3,המשפחה הקדושה,145
45,47,רבין ק. בילינסון,81.19760131835938
44.44444444444444,47,המרכזי בעמק,69.13793182373047
43.47826086956522,0,אל מקאסד,
42.10526315789474,108,מאיר,64.26734924316406
40,29,פוריה,58.02816772460938
37.777777777777786,53,סוראסקי,89.32536315917969
34.21052631578948,4,השרון ק. גולדה,51.03734588623047
33.33333333333333,0,אוגוסטה ויקטוריה,
32.05128205128205,39,סורוקה,63.59687042236328
25,13,שניידר,90.71730041503906
0,2,סנט וינסנט,61.19403076171875
