period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,182718,63890,34.97
3_Month,0-9,1138688,451377,39.64
6_Month,0-9,1309535,505538,38.6
1_Year,0-9,1490855,583230,39.12
All,0-9,1670421,687769,41.17
1_Month,10-19,170833,60174,35.22
3_Month,10-19,1039180,491445,47.29
6_Month,10-19,1190264,529075,44.45
1_Year,10-19,1371726,590017,43.01
All,10-19,1580828,732714,46.35
1_Month,20-29,177937,38574,21.68
3_Month,20-29,805685,320125,39.73
6_Month,20-29,985558,340072,34.51
1_Year,20-29,1169053,387051,33.11
All,20-29,1379124,508706,36.89
1_Month,30-39,180282,47695,26.46
3_Month,30-39,789155,341702,43.3
6_Month,30-39,943523,364555,38.64
1_Year,30-39,1102642,410341,37.21
All,30-39,1273132,496781,39.02
1_Month,40-49,177158,45183,25.5
3_Month,40-49,724538,312416,43.12
6_Month,40-49,850477,328204,38.59
1_Year,40-49,981550,365394,37.23
All,40-49,1127612,439875,39.01
1_Month,50-59,144445,30358,21.02
3_Month,50-59,527887,201675,38.2
6_Month,50-59,634934,209099,32.93
1_Year,50-59,737057,231616,31.42
All,50-59,858651,289247,33.69
1_Month,60-69,123756,20396,16.48
3_Month,60-69,423425,132497,31.29
6_Month,60-69,511155,136882,26.78
1_Year,60-69,594914,151596,25.48
All,60-69,691776,190052,27.47
1_Month,70-79,82175,11472,13.96
3_Month,70-79,256176,68022,26.55
6_Month,70-79,311500,70185,22.53
1_Year,70-79,367441,78408,21.34
All,70-79,430121,98707,22.95
1_Month,80-89,37181,4422,11.89
3_Month,80-89,99777,26485,26.54
6_Month,80-89,119398,27528,23.06
1_Year,80-89,146008,31515,21.58
All,80-89,184683,42336,22.92
1_Month,90+,10172,1101,10.82
3_Month,90+,24513,7013,28.61
6_Month,90+,28925,7298,25.23
1_Year,90+,35896,8347,23.25
All,90+,48547,11974,24.66
