instituteDesc,occupancy,gOccupancy,occupancyDate
רבין ק. השרון,46.5,54.8,2022-03-11T00:00:00.000Z
סורוקה,57.4,69.9,2022-03-11T00:00:00.000Z
וולפסון,62.3,67.9,2022-03-11T00:00:00.000Z
יוספטל,62.5,41.5,2022-03-11T00:00:00.000Z
הכרמל,67,68.9,2022-03-11T00:00:00.000Z
פוריה,71.8,69.6,2022-03-11T00:00:00.000Z
זיו צפת,76.6,64.8,2022-03-11T00:00:00.000Z
המרכזי בעמק,78.1,68.7,2022-03-11T00:00:00.000Z
לניאדו,78.2,78.3,2022-03-11T00:00:00.000Z
קפלן,82.7,84.6,2022-03-11T00:00:00.000Z
הדסה הר הצופים,83.3,97.2,2022-03-11T00:00:00.000Z
מאיר,85,86.6,2022-03-11T00:00:00.000Z
בני ציון,87.6,86.6,2022-03-11T00:00:00.000Z
שיבא,90.8,103.1,2022-03-11T00:00:00.000Z
שמיר,91.5,72.4,2022-03-11T00:00:00.000Z
ברזילי,91.1,83.8,2022-03-11T00:00:00.000Z
"רמב""ם",94.9,88.3,2022-03-11T00:00:00.000Z
הלל יפה,95.2,88,2022-03-11T00:00:00.000Z
נהריה,96.3,87.9,2022-03-11T00:00:00.000Z
רבין ק. בילינסון,112.3,91.4,2022-03-11T00:00:00.000Z
הדסה עין כרם,123.3,101.1,2022-03-11T00:00:00.000Z
אסותא אשדוד,130.5,101,2022-03-11T00:00:00.000Z
