age,active_amount_boost_vaccinated,active_amount_vaccinated,active_amount_not_vaccinated,active_boost_vaccinated_normalized,active_vaccinated_normalized,active_not_vaccinated_normalized,serious_amount_boost_vaccinated,serious_amount_vaccinated,serious_amount_not_vaccinated,serious_boost_vaccinated_normalized,serious_vaccinated_normalized,serious_not_vaccinated_normalized
12-15,0,254,2120,0,81.3,816,0,0,2,0,0,0.8
16-19,46,842,1003,30.9,299.7,765.2,0,0,0,0,0,0
20-29,144,2303,1867,33.5,385.5,792.1,1,1,11,0.2,0.2,4.7
30-39,276,2191,1868,57.2,430.4,1106.1,1,0,24,0.2,0,14.2
40-49,316,1497,1299,55.1,401.6,1001.3,1,5,59,0.2,1.3,45.5
50-59,201,696,760,38,296.4,851.6,4,15,82,0.8,6.4,91.9
60-69,210,403,456,38.8,304.8,728.8,9,22,79,1.7,16.6,126.3
70-79,161,194,279,39.3,284.2,645.6,12,19,59,2.9,27.8,136.5
80-89,113,126,163,63.5,351.2,778.4,4,10,21,2.2,27.9,100.3
90+,39,25,43,107.4,201,530.7,0,2,13,0,16.1,160.5
