name,coronaOccupancy,normalOccupancy,isolatedTeam
שיבא,,94.81012725830078,31
אוגוסטה ויקטוריה,,,0
שמיר,,79.68574523925781,8
וולפסון,,75.10980987548828,6
זיו צפת,,75.50432586669922,4
הלל יפה,,,0
נהריה,,,0
ברזילי,,,0
פוריה,,,0
סוראסקי,,,0
בני ציון,,,0
רבין ק. בילינסון,,94.75566101074219,25
סורוקה,,84.31372833251953,13
מאיר,,84.8329086303711,12
קפלן,,98.23321533203125,24
"רמב""ם",,96.51639556884766,9
הכרמל,,75.25562286376953,2
רבין ק. השרון,,67.63485717773438,6
הדסה עין כרם,,100.3968276977539,33
הסקוטי,,,0
המשפחה הקדושה,,,0
שערי צדק,,111.3001251220703,10
לניאדו,,,0
מעייני הישועה,,,0
אסותא אשדוד,,,0
שניידר,,,0
יוספטל,,76.92308044433594,2
סנט וינסנט,,,0
סנט ג'וזף,,,0
אל מקאסד,,,0
המרכזי בעמק,,79.47882843017578,22
