name,value
פסיכולוגיה,1
פיזיותרפיה,4
ריפוי בעיסוק,5
שירות סוציאלי,5
מעבדה,8
קלינאות תקשורת,10
רוקחות,13
מערך לוגיסטי,14
כוח עזר,17
סקטורים אחרים,65
מינהל ומשק,95
