instituteDesc,occupancy,gOccupancy,occupancyDate
פוריה,47.4,71.5,2022-02-14T00:00:00.000Z
רבין ק. השרון,53.5,61.8,2022-02-14T00:00:00.000Z
הכרמל,58.5,83.2,2022-02-14T00:00:00.000Z
וולפסון,61.5,76.4,2022-02-14T00:00:00.000Z
סורוקה,61.6,73.8,2022-02-14T00:00:00.000Z
בני ציון,62.8,78.8,2022-02-14T00:00:00.000Z
מאיר,65,79.2,2022-02-14T00:00:00.000Z
המרכזי בעמק,74.2,71.3,2022-02-14T00:00:00.000Z
לניאדו,80.8,87.2,2022-02-14T00:00:00.000Z
יוספטל,81.3,61.5,2022-02-14T00:00:00.000Z
"רמב""ם",81.3,88,2022-02-14T00:00:00.000Z
שיבא,82.8,106.6,2022-02-14T00:00:00.000Z
שמיר,82.2,76.5,2022-02-14T00:00:00.000Z
נהריה,83.2,83.6,2022-02-14T00:00:00.000Z
קפלן,86.7,86.6,2022-02-14T00:00:00.000Z
ברזילי,87,79,2022-02-14T00:00:00.000Z
שערי צדק,88.7,105.2,2022-02-14T00:00:00.000Z
רבין ק. בילינסון,91.6,85.7,2022-02-14T00:00:00.000Z
אסותא אשדוד,96.6,100,2022-02-14T00:00:00.000Z
זיו צפת,100,80.7,2022-02-14T00:00:00.000Z
הדסה עין כרם,103.9,93,2022-02-14T00:00:00.000Z
