averageInfected,begin_date,end_date,isCurrentWeek
67645,2022-01-23T00:00:00.000Z,2022-01-29T00:00:00.000Z,False
54614,2022-01-30T00:00:00.000Z,2022-02-05T00:00:00.000Z,False
34365,2022-02-06T00:00:00.000Z,2022-02-12T00:00:00.000Z,False
31187,2022-02-13T00:00:00.000Z,2022-02-14T00:00:00.000Z,True
