instituteDesc,occupancy,gOccupancy,occupancyDate
יוספטל,37.5,29.2,2022-01-28T00:00:00.000Z
פוריה,41,60,2022-01-28T00:00:00.000Z
וולפסון,43,66.9,2022-01-28T00:00:00.000Z
סורוקה,43,67.3,2022-01-28T00:00:00.000Z
הכרמל,48.1,71,2022-01-28T00:00:00.000Z
רבין ק. השרון,50,58.1,2022-01-28T00:00:00.000Z
הדסה הר הצופים,55.6,80.6,2022-01-28T00:00:00.000Z
המרכזי בעמק,56.1,61.9,2022-01-28T00:00:00.000Z
מאיר,57,76.3,2022-01-28T00:00:00.000Z
ברזילי,58.9,69.9,2022-01-28T00:00:00.000Z
בני ציון,59.5,64.7,2022-01-28T00:00:00.000Z
שמיר,61.4,71.3,2022-01-28T00:00:00.000Z
זיו צפת,64.1,65.4,2022-01-28T00:00:00.000Z
לניאדו,67.9,81.9,2022-01-28T00:00:00.000Z
קפלן,67.3,80.9,2022-01-28T00:00:00.000Z
רבין ק. בילינסון,70,78.2,2022-01-28T00:00:00.000Z
נהריה,70.5,76.6,2022-01-28T00:00:00.000Z
"רמב""ם",73.2,78.6,2022-01-28T00:00:00.000Z
שיבא,79.1,97.2,2022-01-28T00:00:00.000Z
הדסה עין כרם,95.1,91.4,2022-01-28T00:00:00.000Z
