period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
6_Month,0-9,1381990,373537,27.03
1_Year,0-9,1498670,420292,28.04
All,0-9,1636773,494713,30.22
3_Month,0-9,1095445,251880,22.99
1_Month,0-9,1001804,239403,23.9
6_Month,10-19,1252264,397999,31.78
3_Month,10-19,984356,308089,31.3
All,10-19,1545932,558897,36.15
1_Year,10-19,1377551,442589,32.13
1_Month,10-19,876941,296440,33.8
All,20-29,1329115,405931,30.54
1_Year,20-29,1155645,306327,26.51
6_Month,20-29,1009763,271244,26.86
3_Month,20-29,741147,210133,28.35
1_Month,20-29,597679,205484,34.38
1_Month,30-39,585770,199591,34.07
All,30-39,1221544,367524,30.09
1_Year,30-39,1076029,295682,27.48
6_Month,30-39,949287,267614,28.19
3_Month,30-39,717856,205145,28.58
1_Month,40-49,537561,181059,33.68
6_Month,40-49,845064,232819,27.55
3_Month,40-49,656301,185717,28.3
All,40-49,1076032,318940,29.64
1_Year,40-49,946451,254588,26.9
3_Month,50-59,473427,119229,25.18
1_Month,50-59,369000,116839,31.66
6_Month,50-59,618950,145364,23.49
1_Year,50-59,699132,159807,22.86
All,50-59,809734,210447,25.99
6_Month,60-69,489949,94840,19.36
1_Month,60-69,288644,77564,26.87
3_Month,60-69,373269,79135,21.2
1_Year,60-69,553251,103581,18.72
All,60-69,646082,138400,21.42
1_Month,70-79,166028,39335,23.69
1_Year,70-79,334742,53185,15.89
All,70-79,394671,71291,18.06
6_Month,70-79,292050,48476,16.6
3_Month,70-79,217852,40126,18.42
3_Month,80-89,84929,15245,17.95
6_Month,80-89,114286,19362,16.94
1_Year,80-89,136106,21807,16.02
All,80-89,171043,31321,18.31
1_Month,80-89,68514,14960,21.83
All,90+,45714,9169,20.06
1_Month,90+,18483,4053,21.93
3_Month,90+,21967,4119,18.75
6_Month,90+,28351,5207,18.37
1_Year,90+,34658,5923,17.09
