city,sickCount,actualSick,verifiedLast7Days,testLast7Days,patientDiffPopulationForTenThousands
ירושלים,43150,2769,1186,22701,30
בני ברק,25165,1335,477,7901,66
תל אביב - יפו,10478,792,213,11332,17
אשדוד,12447,664,209,8598,29
מודיעין עילית,10772,553,211,4556,72
נתניה,6910,469,117,6282,22
פתח תקווה,7701,454,146,6621,18
באר שבע,5685,387,102,6053,20
חולון,5667,369,100,4815,20
בית שמש,7684,354,128,2998,28
חיפה,5388,327,108,6832,12
ראשון לציון,5398,311,86,5815,13
ביתר עילית,5811,310,131,1658,50
חדרה,3016,309,84,3664,32
בת ים,3769,293,88,3682,23
אשקלון,4274,292,85,3607,21
רמלה,3270,291,92,2669,38
אלעד,5501,284,88,1428,60
רחובות,4588,255,80,4177,18
ראש העין,1996,184,72,1674,31
רמת גן,2868,183,57,4434,12
לוד,3001,171,69,2537,22
עכו,1368,163,64,1627,32
נצרת,1900,155,72,1036,20
כפר סבא,1616,131,41,2329,13
הרצליה,1772,128,28,3188,14
שפרעם,1043,122,64,864,30
נתיבות,2770,118,44,992,31
קרית מלאכי,1529,107,33,940,44
רעננה,1675,105,28,1871,14
טמרה,1161,102,42,745,30
אור יהודה,1851,100,37,1335,29
קרית אתא,1321,98,42,1838,17
יבנה,1641,98,34,1012,21
אופקים,1569,94,34,1189,30
צפת,1138,93,49,757,26
טבריה,1829,93,15,1166,21
רהט,1614,90,47,909,13
עפולה,1292,89,20,1399,17
קרית גת,2237,88,23,1617,15
אום אל-פחם,2484,87,53,591,15
גבעת זאב,1264,87,47,512,46
נוף הגליל,697,85,23,1064,19
בית שאן,698,84,28,829,44
באקה אל-גרביה,1329,81,42,565,27
נהריה,1255,76,20,1821,13
ערד,873,74,31,873,27
גדרה,702,72,19,1187,29
קרית ים,706,70, 11-14 ,1382,18
פרדס חנה-כרכור,958,70,28,1147,17
מעלה אדומים,1049,69,25,1080,18
הוד השרון,974,68,24,1309,11
מודיעין-מכבים-רעות,1848,68,23,1927,8
קלנסווה,1511,65,41,573,28
נס ציונה,1006,64,34,1428,14
קרית ביאליק,741,63,30,1011,16
מג'ד אל-כרום,800,60,36,493,39
רכסים,1385,59,18,978,48
קרית מוצקין,642,58,15,1284,13
שדרות,973,57,27,730,21
אור עקיבא,638,56,16,568,29
באר יעקב,964,56,18,565,22
פוריידיס,663,55,40,332,41
טירה,1608,54,  6-10  ,520,20
מג'דל שמס,237,52,33,298,46
ריינה,455,51,27,288,31
קרית אונו,646,51,22,811,14
ירכא,1084,50,20,544,32
רמת השרון,801,50,21,1164,11
סח'נין,1361,48,38,640,15
טייבה,1800,47,26,768,11
כרמיאל,827,47,  6-10  ,1073,10
כפר קרע,839,46,27,409,24
אבו סנאן,564,46,25,331,35
גבעתיים,798,45,  6-10  ,1116,8
ערערה,812,45,18,396,23
זכרון יעקב,487,42,18,637,19
מגדל העמק,723,39, 11-14 ,769,15
גן יבנה,748,38, 11-14 ,452,17
דימונה,842,37,  6-10  ,1283,10
מגאר,363,37,20,342,16
בועיינה-נוג'ידאת,114,37,33,368,36
כפר כנא,553,35,17,443,15
ג'דיידה-מכר,729,35, 11-14 ,459,17
חצור הגלילית,378,34, 11-14 ,241,35
ג'סר א-זרקא,448,32, 11-14 ,593,21
בית ג'ן,521,31,  6-10  ,352,26
דייר אל-אסד,774,31,16,231,25
יהוד,823,30,  6-10  ,845,10
אילת,897,30,  6-10  ,1046,5
אזור,416,30,  1-5  ,260,25
בענה,494,29, 11-14 ,147,34
כפר קאסם,1437,28,15,480,12
כפר מנדא,676,28,  6-10  ,211,14
גבעת שמואל,657,28, 11-14 ,517,11
"כפר חב""ד",499,28, 11-14 ,454,41
יפיע,478,27,  6-10  ,248,14
גני תקווה,433,27,  1-5  ,497,14
מבשרת ציון,494,27,  6-10  ,643,12
עראבה,526,27,19,442,10
יקנעם עילית,350,26,  6-10  ,320,11
נחף,342,26,  6-10  ,208,19
אעבלין,302,25, 11-14 ,293,19
מעלה עירון,720,25,  6-10  ,155,17
קדימה-צורן,313,25,  6-10  ,354,12
טורעאן,349,25,  6-10  ,263,17
ערערה-בנגב,389,24,20,183,13
חריש,437,24,  6-10  ,263,17
ג'ת,613,23, 11-14 ,285,19
מעלות-תרשיחא,347,23, 11-14 ,681,10
שלומי,184,23, 11-14 ,217,35
אפרת,289,22,  6-10  ,469,19
דבוריה,481,22,  6-10  ,317,21
ראמה,221,22,15,171,26
כוכב יעקב,470,22, 11-14 ,226,25
קרית שמונה,550,21,  6-10  ,418,10
טירת כרמל,403,21,  6-10  ,440,9
שוהם,440,21, 11-14 ,370,10
דאלית אל-כרמל,500,20, 11-14 ,339,12
"בסמ""ה",302,20, 11-14 ,155,19
ג'ולס,363,20, 11-14 ,141,32
חורפיש,203,19,  6-10  ,101,30
