instituteDesc,occupancy,gOccupancy,occupancyDate
הדסה הר הצופים,41.7,72.6,2022-02-24T00:00:00.000Z
הכרמל,54.7,84.7,2022-02-24T00:00:00.000Z
רבין ק. השרון,58.8,74.7,2022-02-24T00:00:00.000Z
פוריה,62.8,63.9,2022-02-24T00:00:00.000Z
וולפסון,64.3,77.9,2022-02-24T00:00:00.000Z
סורוקה,69.8,80.2,2022-02-24T00:00:00.000Z
לניאדו,75.6,101.1,2022-02-24T00:00:00.000Z
מאיר,76,84.7,2022-02-24T00:00:00.000Z
בני ציון,76.9,90.8,2022-02-24T00:00:00.000Z
"רמב""ם",82.3,88.1,2022-02-24T00:00:00.000Z
ברזילי,84.4,80.6,2022-02-24T00:00:00.000Z
שמיר,87.6,74.4,2022-02-24T00:00:00.000Z
המרכזי בעמק,87.1,72.5,2022-02-24T00:00:00.000Z
קפלן,94,92.4,2022-02-24T00:00:00.000Z
שיבא,97.5,108,2022-02-24T00:00:00.000Z
זיו צפת,98.4,77.2,2022-02-24T00:00:00.000Z
נהריה,101.1,88.8,2022-02-24T00:00:00.000Z
מ.גריאטרי פרדס חנה,,41.5,2022-02-24T00:00:00.000Z
רבין ק. בילינסון,107.9,95.8,2022-02-24T00:00:00.000Z
הדסה עין כרם,107.8,99.1,2022-02-24T00:00:00.000Z
שמואל הרופא,108.3,76.5,2022-02-24T00:00:00.000Z
יוספטל,112.5,67.7,2022-02-24T00:00:00.000Z
אסותא אשדוד,113.6,113,2022-02-24T00:00:00.000Z
