instituteDesc,occupancy,gOccupancy,occupancyDate
שמואל הרופא,5.6,71,2022-02-05T00:00:00.000Z
יוספטל,50,30.8,2022-02-05T00:00:00.000Z
הכרמל,53.8,72.4,2022-02-05T00:00:00.000Z
בני ציון,55.4,66.3,2022-02-05T00:00:00.000Z
רבין ק. השרון,55.3,55.6,2022-02-05T00:00:00.000Z
סורוקה,58.5,63.2,2022-02-05T00:00:00.000Z
וולפסון,59.4,71.4,2022-02-05T00:00:00.000Z
פוריה,60.3,67.6,2022-02-05T00:00:00.000Z
מאיר,67,85.2,2022-02-05T00:00:00.000Z
שערי צדק,71.3,103.8,2022-02-05T00:00:00.000Z
זיו צפת,71.9,58.5,2022-02-05T00:00:00.000Z
"רמב""ם",72.2,75.7,2022-02-05T00:00:00.000Z
המרכזי בעמק,72.9,64.3,2022-02-05T00:00:00.000Z
שמיר,73.4,72.5,2022-02-05T00:00:00.000Z
ברזילי,74,72.2,2022-02-05T00:00:00.000Z
הדסה הר הצופים,77.8,79.5,2022-02-05T00:00:00.000Z
נהריה,81.1,76.2,2022-02-05T00:00:00.000Z
רבין ק. בילינסון,81.5,83.2,2022-02-05T00:00:00.000Z
שיבא,85.4,96.1,2022-02-05T00:00:00.000Z
מ.גריאטרי פרדס חנה,,41.9,2022-02-05T00:00:00.000Z
קפלן,88,88,2022-02-05T00:00:00.000Z
הדסה עין כרם,95.1,88.9,2022-02-05T00:00:00.000Z
לניאדו,97.4,95.8,2022-02-05T00:00:00.000Z
אסותא אשדוד,100,90.4,2022-02-05T00:00:00.000Z
