period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,134437,38646,28.75
3_Month,0-9,1133931,456218,40.23
6_Month,0-9,1283652,495402,38.59
1_Year,0-9,1485112,587006,39.53
All,0-9,1672399,693695,41.48
1_Month,10-19,130860,38377,29.33
3_Month,10-19,1036034,496629,47.94
6_Month,10-19,1174650,524894,44.69
1_Year,10-19,1369267,594183,43.39
All,10-19,1583516,738670,46.65
1_Month,20-29,155355,29089,18.72
3_Month,20-29,807880,325729,40.32
6_Month,20-29,980609,339773,34.65
1_Year,20-29,1169938,391767,33.49
All,20-29,1386044,514522,37.12
1_Month,30-39,152986,34455,22.52
3_Month,30-39,792892,348441,43.95
6_Month,30-39,938295,364796,38.88
1_Year,30-39,1105432,416472,37.68
All,30-39,1280277,503823,39.35
1_Month,40-49,149879,32974,22
3_Month,40-49,728444,319287,43.83
6_Month,40-49,848058,330891,39.02
1_Year,40-49,984815,371882,37.76
All,40-49,1133695,446977,39.43
1_Month,50-59,130077,23440,18.02
3_Month,50-59,533839,206829,38.74
6_Month,50-59,636845,212382,33.35
1_Year,50-59,742152,236418,31.86
All,50-59,865210,294453,34.03
1_Month,60-69,113306,16307,14.39
3_Month,60-69,429019,136283,31.77
6_Month,60-69,514195,139644,27.16
1_Year,60-69,600177,155126,25.85
All,60-69,698088,193875,27.77
1_Month,70-79,76029,9611,12.64
3_Month,70-79,260158,70429,27.07
6_Month,70-79,314033,72117,22.96
1_Year,70-79,371362,80705,21.73
All,70-79,434749,101149,23.27
1_Month,80-89,34676,3468,10
3_Month,80-89,100795,27238,27.02
6_Month,80-89,119834,28024,23.39
1_Year,80-89,146756,32179,21.93
All,80-89,186161,43100,23.15
1_Month,90+,9491,816,8.6
3_Month,90+,24635,7164,29.08
6_Month,90+,28904,7364,25.48
1_Year,90+,35913,8473,23.59
All,90+,48847,12123,24.82
