instituteDesc,occupancy,gOccupancy,occupancyDate
יוספטל,43.8,50.8,2022-03-20T00:00:00.000Z
רבין ק. השרון,52.6,55.2,2022-03-20T00:00:00.000Z
סורוקה,66.7,69.7,2022-03-20T00:00:00.000Z
פוריה,70.5,65.9,2022-03-20T00:00:00.000Z
הדסה הר הצופים,72.2,87.8,2022-03-20T00:00:00.000Z
מאיר,76.5,88.8,2022-03-20T00:00:00.000Z
בני ציון,77.7,81.1,2022-03-20T00:00:00.000Z
הכרמל,78.3,77.3,2022-03-20T00:00:00.000Z
איכילוב,80.3,114.3,2022-03-20T00:00:00.000Z
שמיר,83,77.1,2022-03-20T00:00:00.000Z
וולפסון,85.7,73.2,2022-03-20T00:00:00.000Z
קפלן,86,90.3,2022-03-20T00:00:00.000Z
זיו צפת,87.5,75.8,2022-03-20T00:00:00.000Z
"רמב""ם",89.4,88.3,2022-03-20T00:00:00.000Z
המרכזי בעמק,91,75.1,2022-03-20T00:00:00.000Z
שמואל הרופא,97.2,82.7,2022-03-20T00:00:00.000Z
לניאדו,98.7,109.2,2022-03-20T00:00:00.000Z
נהריה,104.2,87.7,2022-03-20T00:00:00.000Z
שיבא,105.4,105.8,2022-03-20T00:00:00.000Z
ברזילי,110.4,87.9,2022-03-20T00:00:00.000Z
הלל יפה,117.8,84.9,2022-03-20T00:00:00.000Z
מ.גריאטרי פרדס חנה,,42.1,2022-03-20T00:00:00.000Z
הדסה עין כרם,127.2,89.8,2022-03-20T00:00:00.000Z
אסותא אשדוד,127.1,102,2022-03-20T00:00:00.000Z
רבין ק. בילינסון,132.6,96.3,2022-03-20T00:00:00.000Z
המשפחה הקדושה,172.4,118.1,2022-03-20T00:00:00.000Z
