section,female,male,period
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",6 חודשים
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",3 חודשים
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
0-9,"{'amount': 4, 'percentage': 0}","{'amount': 8, 'percentage': 0.1}",מתחילת קורונה
0-9,"{'amount': 2, 'percentage': 0.1}","{'amount': 5, 'percentage': 0.1}",שנה
10-19,"{'amount': 2, 'percentage': 0.1}","{'amount': 3, 'percentage': 0.1}",שנה
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",3 חודשים
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",6 חודשים
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
10-19,"{'amount': 7, 'percentage': 0.1}","{'amount': 6, 'percentage': 0}",מתחילת קורונה
20-29,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.3}",3 חודשים
20-29,"{'amount': 5, 'percentage': 0.1}","{'amount': 4, 'percentage': 0.1}",שנה
20-29,"{'amount': 0, 'percentage': 0}","{'amount': 2, 'percentage': 0.2}",6 חודשים
20-29,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
20-29,"{'amount': 22, 'percentage': 0.2}","{'amount': 26, 'percentage': 0.2}",מתחילת קורונה
30-39,"{'amount': 1, 'percentage': 0.1}","{'amount': 0, 'percentage': 0}",6 חודשים
30-39,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",3 חודשים
30-39,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
30-39,"{'amount': 40, 'percentage': 0.3}","{'amount': 53, 'percentage': 0.4}",מתחילת קורונה
30-39,"{'amount': 8, 'percentage': 0.2}","{'amount': 11, 'percentage': 0.3}",שנה
40-49,"{'amount': 82, 'percentage': 0.7}","{'amount': 126, 'percentage': 1}",מתחילת קורונה
40-49,"{'amount': 5, 'percentage': 0.5}","{'amount': 4, 'percentage': 0.4}",6 חודשים
40-49,"{'amount': 2, 'percentage': 0.6}","{'amount': 1, 'percentage': 0.3}",3 חודשים
40-49,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.6}",חודש אחרון
40-49,"{'amount': 17, 'percentage': 0.5}","{'amount': 23, 'percentage': 0.6}",שנה
50-59,"{'amount': 48, 'percentage': 1.3}","{'amount': 80, 'percentage': 2.1}",שנה
50-59,"{'amount': 209, 'percentage': 1.7}","{'amount': 403, 'percentage': 3.3}",מתחילת קורונה
50-59,"{'amount': 4, 'percentage': 1.2}","{'amount': 3, 'percentage': 0.9}",3 חודשים
50-59,"{'amount': 10, 'percentage': 1}","{'amount': 12, 'percentage': 1.2}",6 חודשים
50-59,"{'amount': 0, 'percentage': 0}","{'amount': 2, 'percentage': 1.2}",חודש אחרון
60-69,"{'amount': 584, 'percentage': 4.9}","{'amount': 1054, 'percentage': 8.8}",מתחילת קורונה
60-69,"{'amount': 24, 'percentage': 2.4}","{'amount': 44, 'percentage': 4.4}",6 חודשים
60-69,"{'amount': 10, 'percentage': 3.1}","{'amount': 9, 'percentage': 2.8}",3 חודשים
60-69,"{'amount': 133, 'percentage': 3.5}","{'amount': 229, 'percentage': 6.1}",שנה
60-69,"{'amount': 2, 'percentage': 1.2}","{'amount': 3, 'percentage': 1.9}",חודש אחרון
70-79,"{'amount': 353, 'percentage': 9.3}","{'amount': 505, 'percentage': 13.4}",שנה
70-79,"{'amount': 93, 'percentage': 9.3}","{'amount': 131, 'percentage': 13.1}",6 חודשים
70-79,"{'amount': 33, 'percentage': 10.2}","{'amount': 46, 'percentage': 14.2}",3 חודשים
70-79,"{'amount': 17, 'percentage': 10.6}","{'amount': 24, 'percentage': 14.9}",חודש אחרון
70-79,"{'amount': 1147, 'percentage': 9.5}","{'amount': 1802, 'percentage': 15}",מתחילת קורונה
80-89,"{'amount': 178, 'percentage': 17.8}","{'amount': 196, 'percentage': 19.6}",6 חודשים
80-89,"{'amount': 57, 'percentage': 17.5}","{'amount': 66, 'percentage': 20.3}",3 חודשים
80-89,"{'amount': 23, 'percentage': 14.3}","{'amount': 38, 'percentage': 23.6}",חודש אחרון
80-89,"{'amount': 1954, 'percentage': 16.2}","{'amount': 2133, 'percentage': 17.7}",מתחילת קורונה
80-89,"{'amount': 682, 'percentage': 18.1}","{'amount': 724, 'percentage': 19.2}",שנה
90+,"{'amount': 46, 'percentage': 14.2}","{'amount': 47, 'percentage': 14.5}",3 חודשים
90+,"{'amount': 500, 'percentage': 13.2}","{'amount': 442, 'percentage': 11.7}",שנה
90+,"{'amount': 165, 'percentage': 16.5}","{'amount': 136, 'percentage': 13.6}",6 חודשים
90+,"{'amount': 26, 'percentage': 16.1}","{'amount': 25, 'percentage': 15.5}",חודש אחרון
90+,"{'amount': 1336, 'percentage': 11.1}","{'amount': 1035, 'percentage': 8.6}",מתחילת קורונה
