period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,9608,1111,11.56
3_Month,0-9,19375,2854,14.73
6_Month,0-9,85038,31723,37.3
1_Year,0-9,1206687,532782,44.15
All,0-9,1716027,767936,44.75
1_Month,10-19,13350,3098,23.21
3_Month,10-19,28366,7097,25.02
6_Month,10-19,91073,30332,33.31
1_Year,10-19,1126753,571297,50.7
All,10-19,1632178,811038,49.69
1_Month,20-29,19319,4824,24.97
3_Month,20-29,41692,10573,25.36
6_Month,20-29,126996,44612,35.13
1_Year,20-29,991492,427227,43.09
All,20-29,1478435,609031,41.19
1_Month,30-39,19140,5273,27.55
3_Month,30-39,40869,11634,28.47
6_Month,30-39,135680,54286,40.01
1_Year,30-39,967074,470308,48.63
All,30-39,1375957,617710,44.89
1_Month,40-49,19718,5711,28.96
3_Month,40-49,42590,13035,30.61
6_Month,40-49,132613,55156,41.59
1_Year,40-49,885544,441671,49.88
All,40-49,1222704,562080,45.97
1_Month,50-59,20360,5853,28.75
3_Month,50-59,43879,13712,31.25
6_Month,50-59,125447,54284,43.27
1_Year,50-59,696376,322089,46.25
All,50-59,958453,403674,42.12
1_Month,60-69,22727,6308,27.76
3_Month,60-69,49865,15567,31.22
6_Month,60-69,137545,61043,44.38
1_Year,60-69,589545,257531,43.68
All,60-69,792871,310927,39.22
1_Month,70-79,24728,6117,24.74
3_Month,70-79,52233,15844,30.33
6_Month,70-79,128700,57476,44.66
1_Year,70-79,395018,176036,44.56
All,70-79,519263,204564,39.4
1_Month,80-89,20904,3464,16.57
3_Month,80-89,36264,8236,22.71
6_Month,80-89,70619,27720,39.25
1_Year,80-89,156346,72428,46.33
All,80-89,222817,87118,39.1
1_Month,90+,7598,1084,14.27
3_Month,90+,12311,2377,19.31
6_Month,90+,20809,7393,35.53
1_Year,90+,37775,18177,48.12
All,90+,58710,22740,38.73
