period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,9013,1839,20.4
3_Month,0-9,61551,24072,39.11
6_Month,0-9,253511,65386,25.79
1_Year,0-9,1306890,553704,42.37
All,0-9,1712073,766171,44.75
1_Month,10-19,12422,2593,20.87
3_Month,10-19,61290,19152,31.25
6_Month,10-19,270052,60936,22.56
1_Year,10-19,1222419,586021,47.94
All,10-19,1629253,807492,49.56
1_Month,20-29,17818,2314,12.99
3_Month,20-29,87141,29302,33.63
6_Month,20-29,356638,74412,20.86
1_Year,20-29,1098122,428225,39
All,20-29,1471679,602756,40.96
1_Month,30-39,18390,3142,17.09
3_Month,30-39,96491,36566,37.9
6_Month,30-39,359054,95927,26.72
1_Year,30-39,1056972,472081,44.66
All,30-39,1371296,611045,44.56
1_Month,40-49,19301,3542,18.35
3_Month,40-49,93340,36162,38.74
6_Month,40-49,345201,96155,27.85
1_Year,40-49,958312,440615,45.98
All,40-49,1218243,554819,45.54
1_Month,50-59,19015,3693,19.42
3_Month,50-59,87549,35126,40.12
6_Month,50-59,309261,89536,28.95
1_Year,50-59,753811,316107,41.93
All,50-59,953574,394939,41.42
1_Month,60-69,21379,4493,21.02
3_Month,60-69,96273,39762,41.3
6_Month,60-69,293074,96232,32.84
1_Year,60-69,631909,247916,39.23
All,60-69,787012,299702,38.08
1_Month,70-79,22524,5140,22.82
3_Month,70-79,90360,37164,41.13
6_Month,70-79,222873,84547,37.94
1_Year,70-79,415212,164364,39.59
All,70-79,511729,192206,37.56
1_Month,80-89,15727,2214,14.08
3_Month,80-89,51658,17674,34.21
6_Month,80-89,94469,35938,38.04
1_Year,80-89,161469,66079,40.92
All,80-89,217963,80532,36.95
1_Month,90+,5186,550,10.61
3_Month,90+,15512,4651,29.98
6_Month,90+,24145,8853,36.67
1_Year,90+,38372,16385,42.7
All,90+,56767,20917,36.85
