section,male,female,period,order_period
0-9,"{'amount': 15, 'percentage': 1.3}","{'amount': 7, 'percentage': 0.6}",3 חודשים,4
0-9,"{'amount': 29, 'percentage': 0.5}","{'amount': 15, 'percentage': 0.3}",מתחילת קורונה,1
0-9,"{'amount': 21, 'percentage': 0.8}","{'amount': 9, 'percentage': 0.3}",שנה,2
0-9,"{'amount': 19, 'percentage': 1.1}","{'amount': 7, 'percentage': 0.4}",6 חודשים,3
0-9,"{'amount': 12, 'percentage': 1.7}","{'amount': 5, 'percentage': 0.7}",חודש אחרון,5
10-19,"{'amount': 13, 'percentage': 0.7}","{'amount': 13, 'percentage': 0.7}",6 חודשים,3
10-19,"{'amount': 15, 'percentage': 0.6}","{'amount': 15, 'percentage': 0.6}",שנה,2
10-19,"{'amount': 23, 'percentage': 0.4}","{'amount': 20, 'percentage': 0.3}",מתחילת קורונה,1
10-19,"{'amount': 9, 'percentage': 0.8}","{'amount': 8, 'percentage': 0.7}",3 חודשים,4
10-19,"{'amount': 7, 'percentage': 1}","{'amount': 4, 'percentage': 0.6}",חודש אחרון,5
20-29,"{'amount': 8, 'percentage': 0.7}","{'amount': 12, 'percentage': 1.1}",3 חודשים,4
20-29,"{'amount': 30, 'percentage': 1.2}","{'amount': 22, 'percentage': 0.8}",שנה,2
20-29,"{'amount': 19, 'percentage': 1.1}","{'amount': 15, 'percentage': 0.9}",6 חודשים,3
20-29,"{'amount': 5, 'percentage': 0.7}","{'amount': 4, 'percentage': 0.6}",חודש אחרון,5
20-29,"{'amount': 50, 'percentage': 0.9}","{'amount': 54, 'percentage': 0.9}",מתחילת קורונה,1
30-39,"{'amount': 94, 'percentage': 1.6}","{'amount': 92, 'percentage': 1.6}",מתחילת קורונה,1
30-39,"{'amount': 16, 'percentage': 2.3}","{'amount': 5, 'percentage': 0.7}",חודש אחרון,5
30-39,"{'amount': 22, 'percentage': 2}","{'amount': 9, 'percentage': 0.8}",3 חודשים,4
30-39,"{'amount': 34, 'percentage': 2}","{'amount': 25, 'percentage': 1.4}",6 חודשים,3
30-39,"{'amount': 51, 'percentage': 2}","{'amount': 51, 'percentage': 2}",שנה,2
40-49,"{'amount': 25, 'percentage': 3.5}","{'amount': 14, 'percentage': 2}",חודש אחרון,5
40-49,"{'amount': 46, 'percentage': 4.1}","{'amount': 20, 'percentage': 1.8}",3 חודשים,4
40-49,"{'amount': 83, 'percentage': 4.8}","{'amount': 42, 'percentage': 2.4}",6 חודשים,3
40-49,"{'amount': 129, 'percentage': 5}","{'amount': 66, 'percentage': 2.5}",שנה,2
40-49,"{'amount': 242, 'percentage': 4.2}","{'amount': 139, 'percentage': 2.4}",מתחילת קורונה,1
50-59,"{'amount': 90, 'percentage': 8}","{'amount': 51, 'percentage': 4.5}",3 חודשים,4
50-59,"{'amount': 241, 'percentage': 9.3}","{'amount': 138, 'percentage': 5.3}",שנה,2
50-59,"{'amount': 523, 'percentage': 9}","{'amount': 248, 'percentage': 4.3}",מתחילת קורונה,1
50-59,"{'amount': 153, 'percentage': 8.8}","{'amount': 84, 'percentage': 4.8}",6 חודשים,3
50-59,"{'amount': 56, 'percentage': 7.9}","{'amount': 27, 'percentage': 3.8}",חודש אחרון,5
60-69,"{'amount': 97, 'percentage': 13.7}","{'amount': 55, 'percentage': 7.8}",חודש אחרון,5
60-69,"{'amount': 894, 'percentage': 15.4}","{'amount': 469, 'percentage': 8.1}",מתחילת קורונה,1
60-69,"{'amount': 331, 'percentage': 12.7}","{'amount': 234, 'percentage': 9}",שנה,2
60-69,"{'amount': 131, 'percentage': 11.6}","{'amount': 76, 'percentage': 6.7}",3 חודשים,4
60-69,"{'amount': 217, 'percentage': 12.5}","{'amount': 155, 'percentage': 8.9}",6 חודשים,3
70-79,"{'amount': 173, 'percentage': 15.4}","{'amount': 115, 'percentage': 10.2}",3 חודשים,4
70-79,"{'amount': 109, 'percentage': 15.4}","{'amount': 68, 'percentage': 9.6}",חודש אחרון,5
70-79,"{'amount': 999, 'percentage': 17.2}","{'amount': 563, 'percentage': 9.7}",מתחילת קורונה,1
70-79,"{'amount': 366, 'percentage': 14.1}","{'amount': 275, 'percentage': 10.6}",שנה,2
70-79,"{'amount': 247, 'percentage': 14.2}","{'amount': 185, 'percentage': 10.6}",6 חודשים,3
80-89,"{'amount': 259, 'percentage': 10}","{'amount': 227, 'percentage': 8.7}",שנה,2
80-89,"{'amount': 84, 'percentage': 11.8}","{'amount': 76, 'percentage': 10.7}",חודש אחרון,5
80-89,"{'amount': 138, 'percentage': 12.3}","{'amount': 122, 'percentage': 10.8}",3 חודשים,4
80-89,"{'amount': 177, 'percentage': 10.2}","{'amount': 161, 'percentage': 9.3}",6 חודשים,3
80-89,"{'amount': 618, 'percentage': 10.6}","{'amount': 469, 'percentage': 8.1}",מתחילת קורונה,1
90+,"{'amount': 36, 'percentage': 3.2}","{'amount': 38, 'percentage': 3.4}",3 חודשים,4
90+,"{'amount': 132, 'percentage': 2.3}","{'amount': 130, 'percentage': 2.2}",מתחילת קורונה,1
90+,"{'amount': 58, 'percentage': 2.2}","{'amount': 63, 'percentage': 2.4}",שנה,2
90+,"{'amount': 43, 'percentage': 2.5}","{'amount': 48, 'percentage': 2.8}",6 חודשים,3
90+,"{'amount': 18, 'percentage': 2.5}","{'amount': 22, 'percentage': 3.1}",חודש אחרון,5
