instituteDesc,occupancy,gOccupancy,occupancyDate
רבין ק. השרון,57,64.3,2022-03-08T00:00:00.000Z
יוספטל,62.5,50.8,2022-03-08T00:00:00.000Z
וולפסון,66,75.4,2022-03-08T00:00:00.000Z
הכרמל,70.8,78.3,2022-03-08T00:00:00.000Z
פוריה,71.8,77.5,2022-03-08T00:00:00.000Z
סורוקה,79.5,85.2,2022-03-08T00:00:00.000Z
איכילוב,80.7,112.8,2022-03-08T00:00:00.000Z
ברזילי,89.1,84.1,2022-03-08T00:00:00.000Z
בני ציון,89.3,89.8,2022-03-08T00:00:00.000Z
המרכזי בעמק,90.3,74.4,2022-03-08T00:00:00.000Z
לניאדו,92.3,79.7,2022-03-08T00:00:00.000Z
שמיר,94.2,78.1,2022-03-08T00:00:00.000Z
קפלן,98,92.9,2022-03-08T00:00:00.000Z
מאיר,99.5,97,2022-03-08T00:00:00.000Z
נהריה,102.1,92.5,2022-03-08T00:00:00.000Z
"רמב""ם",103.5,94.7,2022-03-08T00:00:00.000Z
שיבא,110.5,111.8,2022-03-08T00:00:00.000Z
הלל יפה,111,99.4,2022-03-08T00:00:00.000Z
זיו צפת,117.2,77.8,2022-03-08T00:00:00.000Z
רבין ק. בילינסון,124.7,100.2,2022-03-08T00:00:00.000Z
אסותא אשדוד,125.4,115,2022-03-08T00:00:00.000Z
