period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
All,0-9,1656458,624538,37.7
1_Year,0-9,1507470,539199,35.77
6_Month,0-9,1389790,499766,35.96
3_Month,0-9,1138660,389191,34.18
1_Month,0-9,965044,352360,36.51
1_Month,10-19,787438,372637,47.32
All,10-19,1564174,673706,43.07
1_Year,10-19,1381948,546399,39.54
6_Month,10-19,1255555,512407,40.81
3_Month,10-19,1032475,431837,41.83
3_Month,20-29,785079,280454,35.72
6_Month,20-29,1021800,335798,32.86
1_Year,20-29,1168091,362558,31.04
All,20-29,1350920,470809,34.85
1_Month,20-29,561404,239665,42.69
1_Month,30-39,580132,259941,44.81
All,30-39,1243901,449465,36.13
1_Year,30-39,1094424,372775,34.06
6_Month,30-39,968843,349252,36.05
3_Month,30-39,767512,293018,38.18
1_Month,40-49,533950,235444,44.09
1_Year,40-49,966779,326653,33.79
6_Month,40-49,865237,307499,35.54
3_Month,40-49,704039,266052,37.79
All,40-49,1099246,394651,35.9
1_Year,50-59,717777,205307,28.6
6_Month,50-59,637442,192517,30.2
3_Month,50-59,509091,170259,33.44
1_Month,50-59,372642,151818,40.74
All,50-59,830718,258754,31.15
6_Month,60-69,508504,123994,24.38
All,60-69,666194,169325,25.42
1_Month,60-69,298944,98912,33.09
3_Month,60-69,404809,111388,27.52
1_Year,60-69,573662,133142,23.21
1_Year,70-79,350589,67869,19.36
All,70-79,410412,86882,21.17
3_Month,70-79,239874,56144,23.41
6_Month,70-79,306173,62508,20.42
1_Month,70-79,174288,49466,28.38
All,80-89,177390,37762,21.29
3_Month,80-89,93527,21861,23.37
6_Month,80-89,119185,25074,21.04
1_Year,80-89,141435,27613,19.52
1_Month,80-89,71869,19749,27.48
1_Year,90+,35517,7444,20.96
6_Month,90+,29309,6749,23.03
3_Month,90+,23534,5890,25.03
1_Month,90+,18955,5385,28.41
All,90+,47084,10873,23.09
