instituteDesc,occupancy,gOccupancy,occupancyDate
פוריה,47.4,73.2,2022-02-10T00:00:00.000Z
רבין ק. השרון,53.5,68,2022-02-10T00:00:00.000Z
וולפסון,56.1,77.5,2022-02-10T00:00:00.000Z
הכרמל,56.6,78.9,2022-02-10T00:00:00.000Z
בני ציון,61.2,79.7,2022-02-10T00:00:00.000Z
סורוקה,63.6,74.6,2022-02-10T00:00:00.000Z
יוספטל,68.8,44.6,2022-02-10T00:00:00.000Z
שמיר,69.5,72.8,2022-02-10T00:00:00.000Z
זיו צפת,71.9,73.8,2022-02-10T00:00:00.000Z
הדסה הר הצופים,75,89.2,2022-02-10T00:00:00.000Z
"רמב""ם",75.8,86.5,2022-02-10T00:00:00.000Z
שערי צדק,75.3,110.4,2022-02-10T00:00:00.000Z
מאיר,76,83.4,2022-02-10T00:00:00.000Z
המרכזי בעמק,78.7,75.6,2022-02-10T00:00:00.000Z
קפלן,78.7,89,2022-02-10T00:00:00.000Z
לניאדו,79.5,87.7,2022-02-10T00:00:00.000Z
נהריה,79.5,84,2022-02-10T00:00:00.000Z
ברזילי,80.2,76,2022-02-10T00:00:00.000Z
שיבא,82.4,104.8,2022-02-10T00:00:00.000Z
רבין ק. בילינסון,84.6,91.2,2022-02-10T00:00:00.000Z
אסותא אשדוד,101.7,102.4,2022-02-10T00:00:00.000Z
הדסה עין כרם,108.7,99.1,2022-02-10T00:00:00.000Z
