age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,200662,72518,1505185,13.3,4.8
20-29,604590,235949,1277634,47.3,18.5
30-39,652314,276489,1186386,55,23.3
40-49,730565,481682,1080768,67.6,44.6
50-59,633875,497271,832687,76.1,59.7
60-69,598091,535517,735380,81.3,72.8
70-79,447955,416343,462148,96.9,90.1
80-89,199963,184124,222547,89.9,82.7
90+,47093,42351,50589,93.1,83.7
