section,female,male,period,order_period
0-9,"{'amount': 2, 'percentage': 1.1}","{'amount': 0, 'percentage': 0}",חודש אחרון,5
0-9,"{'amount': 32, 'percentage': 0.2}","{'amount': 43, 'percentage': 0.3}",שנה,2
0-9,"{'amount': 19, 'percentage': 0.3}","{'amount': 26, 'percentage': 0.5}",6 חודשים,3
0-9,"{'amount': 11, 'percentage': 0.5}","{'amount': 11, 'percentage': 0.5}",3 חודשים,4
0-9,"{'amount': 38, 'percentage': 0.2}","{'amount': 54, 'percentage': 0.2}",מתחילת קורונה,1
10-19,"{'amount': 56, 'percentage': 0.3}","{'amount': 46, 'percentage': 0.2}",מתחילת קורונה,1
10-19,"{'amount': 1, 'percentage': 0.5}","{'amount': 2, 'percentage': 1.1}",חודש אחרון,5
10-19,"{'amount': 10, 'percentage': 0.4}","{'amount': 9, 'percentage': 0.4}",3 חודשים,4
10-19,"{'amount': 19, 'percentage': 0.3}","{'amount': 16, 'percentage': 0.3}",6 חודשים,3
10-19,"{'amount': 43, 'percentage': 0.3}","{'amount': 32, 'percentage': 0.2}",שנה,2
20-29,"{'amount': 68, 'percentage': 1.2}","{'amount': 49, 'percentage': 0.9}",6 חודשים,3
20-29,"{'amount': 42, 'percentage': 1.8}","{'amount': 29, 'percentage': 1.2}",3 חודשים,4
20-29,"{'amount': 4, 'percentage': 2.2}","{'amount': 3, 'percentage': 1.6}",חודש אחרון,5
20-29,"{'amount': 231, 'percentage': 1}","{'amount': 179, 'percentage': 0.8}",מתחילת קורונה,1
20-29,"{'amount': 170, 'percentage': 1.2}","{'amount': 138, 'percentage': 0.9}",שנה,2
30-39,"{'amount': 385, 'percentage': 2.6}","{'amount': 394, 'percentage': 2.7}",שנה,2
30-39,"{'amount': 155, 'percentage': 2.8}","{'amount': 165, 'percentage': 3}",6 חודשים,3
30-39,"{'amount': 81, 'percentage': 3.4}","{'amount': 95, 'percentage': 4}",3 חודשים,4
30-39,"{'amount': 6, 'percentage': 3.3}","{'amount': 6, 'percentage': 3.3}",חודש אחרון,5
30-39,"{'amount': 500, 'percentage': 2.2}","{'amount': 546, 'percentage': 2.5}",מתחילת קורונה,1
40-49,"{'amount': 610, 'percentage': 4.2}","{'amount': 874, 'percentage': 6}",שנה,2
40-49,"{'amount': 233, 'percentage': 4.3}","{'amount': 322, 'percentage': 5.9}",6 חודשים,3
40-49,"{'amount': 128, 'percentage': 5.4}","{'amount': 174, 'percentage': 7.4}",3 חודשים,4
40-49,"{'amount': 7, 'percentage': 3.8}","{'amount': 10, 'percentage': 5.5}",חודש אחרון,5
40-49,"{'amount': 809, 'percentage': 3.6}","{'amount': 1216, 'percentage': 5.5}",מתחילת קורונה,1
50-59,"{'amount': 323, 'percentage': 5.9}","{'amount': 434, 'percentage': 8}",6 חודשים,3
50-59,"{'amount': 165, 'percentage': 7}","{'amount': 215, 'percentage': 9.1}",3 חודשים,4
50-59,"{'amount': 891, 'percentage': 6.1}","{'amount': 1287, 'percentage': 8.8}",שנה,2
50-59,"{'amount': 1312, 'percentage': 5.9}","{'amount': 1941, 'percentage': 8.7}",מתחילת קורונה,1
50-59,"{'amount': 13, 'percentage': 7.1}","{'amount': 10, 'percentage': 5.5}",חודש אחרון,5
60-69,"{'amount': 204, 'percentage': 8.6}","{'amount': 253, 'percentage': 10.7}",3 חודשים,4
60-69,"{'amount': 451, 'percentage': 8.3}","{'amount': 588, 'percentage': 10.8}",6 חודשים,3
60-69,"{'amount': 19, 'percentage': 10.4}","{'amount': 22, 'percentage': 12}",חודש אחרון,5
60-69,"{'amount': 1786, 'percentage': 8}","{'amount': 2695, 'percentage': 12.1}",מתחילת קורונה,1
60-69,"{'amount': 1183, 'percentage': 8.1}","{'amount': 1624, 'percentage': 11.1}",שנה,2
70-79,"{'amount': 22, 'percentage': 12}","{'amount': 17, 'percentage': 9.3}",חודש אחרון,5
70-79,"{'amount': 228, 'percentage': 9.6}","{'amount': 213, 'percentage': 9}",3 חודשים,4
70-79,"{'amount': 510, 'percentage': 9.4}","{'amount': 619, 'percentage': 11.4}",6 חודשים,3
70-79,"{'amount': 1387, 'percentage': 9.4}","{'amount': 1716, 'percentage': 11.7}",שנה,2
70-79,"{'amount': 2075, 'percentage': 9.3}","{'amount': 2851, 'percentage': 12.8}",מתחילת קורונה,1
80-89,"{'amount': 193, 'percentage': 8.2}","{'amount': 166, 'percentage': 7}",3 חודשים,4
80-89,"{'amount': 1434, 'percentage': 9.8}","{'amount': 1362, 'percentage': 9.3}",שנה,2
80-89,"{'amount': 529, 'percentage': 9.7}","{'amount': 533, 'percentage': 9.8}",6 חודשים,3
80-89,"{'amount': 12, 'percentage': 6.6}","{'amount': 18, 'percentage': 9.8}",חודש אחרון,5
80-89,"{'amount': 2146, 'percentage': 9.6}","{'amount': 2109, 'percentage': 9.5}",מתחילת קורונה,1
90+,"{'amount': 1028, 'percentage': 4.6}","{'amount': 651, 'percentage': 2.9}",מתחילת קורונה,1
90+,"{'amount': 8, 'percentage': 4.4}","{'amount': 1, 'percentage': 0.5}",חודש אחרון,5
90+,"{'amount': 90, 'percentage': 3.8}","{'amount': 50, 'percentage': 2.1}",3 חודשים,4
90+,"{'amount': 257, 'percentage': 4.7}","{'amount': 132, 'percentage': 2.4}",6 חודשים,3
90+,"{'amount': 645, 'percentage': 4.4}","{'amount': 430, 'percentage': 2.9}",שנה,2
