period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,26596,9385,35.29
3_Month,0-9,114843,43884,38.21
6_Month,0-9,384191,128631,33.48
1_Year,0-9,1452694,638284,43.94
All,0-9,1709917,764331,44.7
1_Month,10-19,26284,6994,26.61
3_Month,10-19,115862,42471,36.66
6_Month,10-19,400912,124333,31.01
1_Year,10-19,1338724,645381,48.21
All,10-19,1627380,805199,49.48
1_Month,20-29,38685,12483,32.27
3_Month,20-29,150140,53769,35.81
6_Month,20-29,518971,131515,25.34
1_Year,20-29,1184841,468597,39.55
All,20-29,1468187,599762,40.85
1_Month,30-39,44219,14996,33.91
3_Month,30-39,165261,66757,40.39
6_Month,30-39,512704,158815,30.98
1_Year,30-39,1134392,511362,45.08
All,30-39,1368003,607259,44.39
1_Month,40-49,42450,14531,34.23
3_Month,40-49,162197,67395,41.55
6_Month,40-49,485985,155024,31.9
1_Year,40-49,1017339,467130,45.92
All,40-49,1215259,550563,45.3
1_Month,50-59,40035,14114,35.25
3_Month,50-59,149605,63924,42.73
6_Month,50-59,424883,131290,30.9
1_Year,50-59,793217,327142,41.24
All,50-59,950302,390115,41.05
1_Month,60-69,44446,16132,36.3
3_Month,60-69,156236,69234,44.31
6_Month,60-69,384270,124245,32.33
1_Year,60-69,659864,250133,37.91
All,60-69,783388,293458,37.46
1_Month,70-79,43367,14873,34.3
3_Month,70-79,134441,61828,45.99
6_Month,70-79,273189,98043,35.89
1_Year,70-79,429066,161360,37.61
All,70-79,507068,185078,36.5
1_Month,80-89,29755,7611,25.58
3_Month,80-89,66743,26717,40.03
6_Month,80-89,108328,40022,36.95
1_Year,80-89,167527,65087,38.85
All,80-89,215348,77463,35.97
1_Month,90+,9725,2044,21.02
3_Month,90+,18652,6520,34.96
6_Month,90+,26358,9618,36.49
1_Year,90+,39876,16194,40.61
All,90+,55939,20174,36.06
