period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,10333,1009,9.76
3_Month,0-9,20195,2849,14.11
6_Month,0-9,76088,25563,33.6
1_Year,0-9,1185762,526225,44.38
All,0-9,1716526,768032,44.74
1_Month,10-19,13321,2836,21.29
3_Month,10-19,28668,7297,25.45
6_Month,10-19,83115,25306,30.45
1_Year,10-19,1094685,559948,51.15
All,10-19,1632403,811223,49.7
1_Month,20-29,19615,4564,23.27
3_Month,20-29,42158,10937,25.94
6_Month,20-29,117690,38717,32.9
1_Year,20-29,970282,419872,43.27
All,20-29,1479069,609494,41.21
1_Month,30-39,18912,4877,25.79
3_Month,30-39,40783,11843,29.04
6_Month,30-39,123655,46446,37.56
1_Year,30-39,949837,464250,48.88
All,30-39,1376337,618128,44.91
1_Month,40-49,19433,5348,27.52
3_Month,40-49,42471,13290,31.29
6_Month,40-49,120896,47579,39.36
1_Year,40-49,870652,435864,50.06
All,40-49,1223074,562532,45.99
1_Month,50-59,20013,5442,27.19
3_Month,50-59,43719,13829,31.63
6_Month,50-59,115404,47129,40.84
1_Year,50-59,686275,318964,46.48
All,50-59,958807,404215,42.16
1_Month,60-69,22435,5897,26.28
3_Month,60-69,49651,15548,31.31
6_Month,60-69,127075,53358,41.99
1_Year,60-69,582925,255881,43.9
All,60-69,793284,311586,39.28
1_Month,70-79,24622,5704,23.17
3_Month,70-79,51820,15428,29.77
6_Month,70-79,120624,50989,42.27
1_Year,70-79,391509,175452,44.81
All,70-79,519853,205239,39.48
1_Month,80-89,21248,3317,15.61
3_Month,80-89,36627,8243,22.51
6_Month,80-89,67895,25138,37.02
1_Year,80-89,155324,72502,46.68
All,80-89,223272,87551,39.21
1_Month,90+,7814,1027,13.14
3_Month,90+,12552,2379,18.95
6_Month,90+,20398,6826,33.46
1_Year,90+,37671,18227,48.38
All,90+,58962,22871,38.79
