name,coronaOccupancy,normalOccupancy,isolatedTeam
שיבא,,103.9873428344727,28
יוספטל,,56.92307662963867,2
שמיר,,68.79910278320312,14
וולפסון,,74.37774658203125,13
זיו צפת,,78.38616943359375,10
הלל יפה,,93.2038803100586,12
נהריה,,,18
ברזילי,,83.60926818847656,37
פוריה,,72.67605590820312,4
סוראסקי,,111.4432144165039,27
בני ציון,,87.29792022705078,4
רבין ק. בילינסון,,90.41915893554688,10
סורוקה,,80.27802276611328,35
מאיר,,81.8766098022461,17
קפלן,,95.48736572265625,27
"רמב""ם",,94.56967163085938,7
הכרמל,,,0
השרון ק. גולדה,,77.5933609008789,12
הדסה עין כרם,,97.22222137451172,42
הסקוטי,,28.5714282989502,6
המשפחה הקדושה,,,0
סנט ג'וזף,,,1
שערי צדק,,97.17444610595703,7
אל מקאסד,,,0
לניאדו,,88.57938385009766,11
אוגוסטה ויקטוריה,,,1
מעייני הישועה,,94.62025451660156,9
אסותא אשדוד,,,4
שניידר,,,0
סנט וינסנט,,,0
המרכזי בעמק,,81.89655303955078,19
