instituteDesc,occupancy,gOccupancy,occupancyDate
רבין ק. השרון,56.1,63.1,2022-02-21T00:00:00.000Z
הכרמל,56.6,82.4,2022-02-21T00:00:00.000Z
פוריה,57.7,70.1,2022-02-21T00:00:00.000Z
וולפסון,64.8,83.5,2022-02-21T00:00:00.000Z
סורוקה,72.5,78.3,2022-02-21T00:00:00.000Z
לניאדו,74.4,99.4,2022-02-21T00:00:00.000Z
יוספטל,75,56.9,2022-02-21T00:00:00.000Z
הדסה הר הצופים,77.8,79.9,2022-02-21T00:00:00.000Z
בני ציון,77.7,90.5,2022-02-21T00:00:00.000Z
שמיר,81.9,79,2022-02-21T00:00:00.000Z
מאיר,90.5,85.5,2022-02-21T00:00:00.000Z
המרכזי בעמק,90.3,72,2022-02-21T00:00:00.000Z
ברזילי,95.8,84.9,2022-02-21T00:00:00.000Z
הדסה עין כרם,97.1,99.2,2022-02-21T00:00:00.000Z
זיו צפת,98.4,81,2022-02-21T00:00:00.000Z
נהריה,100.5,84,2022-02-21T00:00:00.000Z
קפלן,100,95.2,2022-02-21T00:00:00.000Z
אסותא אשדוד,101.7,102,2022-02-21T00:00:00.000Z
מ.גריאטרי פרדס חנה,,41.5,2022-02-21T00:00:00.000Z
"רמב""ם",102,98.7,2022-02-21T00:00:00.000Z
שיבא,102.1,107.2,2022-02-21T00:00:00.000Z
רבין ק. בילינסון,114.5,98.6,2022-02-21T00:00:00.000Z
