section,male,female,period,order_period
0-9,"{'amount': 74, 'percentage': 0.6}","{'amount': 53, 'percentage': 0.4}",שנה,2
0-9,"{'amount': 61, 'percentage': 0.7}","{'amount': 41, 'percentage': 0.5}",6 חודשים,3
0-9,"{'amount': 40, 'percentage': 0.8}","{'amount': 29, 'percentage': 0.6}",3 חודשים,4
0-9,"{'amount': 33, 'percentage': 0.8}","{'amount': 22, 'percentage': 0.5}",חודש אחרון,5
0-9,"{'amount': 97, 'percentage': 0.4}","{'amount': 63, 'percentage': 0.2}",מתחילת קורונה,1
10-19,"{'amount': 43, 'percentage': 0.3}","{'amount': 40, 'percentage': 0.3}",שנה,2
10-19,"{'amount': 12, 'percentage': 0.3}","{'amount': 8, 'percentage': 0.2}",חודש אחרון,5
10-19,"{'amount': 20, 'percentage': 0.4}","{'amount': 14, 'percentage': 0.3}",3 חודשים,4
10-19,"{'amount': 29, 'percentage': 0.3}","{'amount': 26, 'percentage': 0.3}",6 חודשים,3
10-19,"{'amount': 66, 'percentage': 0.2}","{'amount': 63, 'percentage': 0.2}",מתחילת קורונה,1
20-29,"{'amount': 208, 'percentage': 0.8}","{'amount': 247, 'percentage': 0.9}",מתחילת קורונה,1
20-29,"{'amount': 22, 'percentage': 0.5}","{'amount': 15, 'percentage': 0.4}",חודש אחרון,5
20-29,"{'amount': 30, 'percentage': 0.6}","{'amount': 23, 'percentage': 0.4}",3 חודשים,4
20-29,"{'amount': 72, 'percentage': 0.8}","{'amount': 83, 'percentage': 0.9}",6 חודשים,3
20-29,"{'amount': 133, 'percentage': 1}","{'amount': 137, 'percentage': 1}",שנה,2
30-39,"{'amount': 295, 'percentage': 2.2}","{'amount': 307, 'percentage': 2.3}",שנה,2
30-39,"{'amount': 569, 'percentage': 2.1}","{'amount': 544, 'percentage': 2}",מתחילת קורונה,1
30-39,"{'amount': 33, 'percentage': 0.8}","{'amount': 38, 'percentage': 0.9}",חודש אחרון,5
30-39,"{'amount': 44, 'percentage': 0.9}","{'amount': 56, 'percentage': 1.1}",3 חודשים,4
30-39,"{'amount': 174, 'percentage': 1.9}","{'amount': 174, 'percentage': 1.9}",6 חודשים,3
40-49,"{'amount': 1296, 'percentage': 4.8}","{'amount': 891, 'percentage': 3.3}",מתחילת קורונה,1
40-49,"{'amount': 625, 'percentage': 4.7}","{'amount': 470, 'percentage': 3.5}",שנה,2
40-49,"{'amount': 113, 'percentage': 2.2}","{'amount': 71, 'percentage': 1.4}",3 חודשים,4
40-49,"{'amount': 80, 'percentage': 1.9}","{'amount': 50, 'percentage': 1.2}",חודש אחרון,5
40-49,"{'amount': 362, 'percentage': 4.1}","{'amount': 272, 'percentage': 3}",6 חודשים,3
50-59,"{'amount': 928, 'percentage': 7}","{'amount': 718, 'percentage': 5.4}",שנה,2
50-59,"{'amount': 574, 'percentage': 6.4}","{'amount': 407, 'percentage': 4.6}",6 חודשים,3
50-59,"{'amount': 248, 'percentage': 4.8}","{'amount': 167, 'percentage': 3.2}",3 חודשים,4
50-59,"{'amount': 199, 'percentage': 4.8}","{'amount': 136, 'percentage': 3.2}",חודש אחרון,5
50-59,"{'amount': 2149, 'percentage': 7.9}","{'amount': 1479, 'percentage': 5.4}",מתחילת קורונה,1
60-69,"{'amount': 368, 'percentage': 8.8}","{'amount': 271, 'percentage': 6.5}",חודש אחרון,5
60-69,"{'amount': 458, 'percentage': 8.9}","{'amount': 334, 'percentage': 6.5}",3 חודשים,4
60-69,"{'amount': 871, 'percentage': 9.8}","{'amount': 657, 'percentage': 7.4}",6 חודשים,3
60-69,"{'amount': 1305, 'percentage': 9.9}","{'amount': 1021, 'percentage': 7.7}",שנה,2
60-69,"{'amount': 3110, 'percentage': 11.4}","{'amount': 2096, 'percentage': 7.7}",מתחילת קורונה,1
70-79,"{'amount': 3546, 'percentage': 13}","{'amount': 2589, 'percentage': 9.5}",מתחילת קורונה,1
70-79,"{'amount': 712, 'percentage': 13.9}","{'amount': 536, 'percentage': 10.4}",3 חודשים,4
70-79,"{'amount': 1093, 'percentage': 12.2}","{'amount': 890, 'percentage': 10}",6 חודשים,3
70-79,"{'amount': 1568, 'percentage': 11.8}","{'amount': 1289, 'percentage': 9.7}",שנה,2
70-79,"{'amount': 593, 'percentage': 14.2}","{'amount': 438, 'percentage': 10.5}",חודש אחרון,5
80-89,"{'amount': 757, 'percentage': 14.7}","{'amount': 784, 'percentage': 15.3}",3 חודשים,4
80-89,"{'amount': 1070, 'percentage': 12}","{'amount': 1119, 'percentage': 12.5}",6 חודשים,3
80-89,"{'amount': 1456, 'percentage': 11}","{'amount': 1550, 'percentage': 11.7}",שנה,2
80-89,"{'amount': 638, 'percentage': 15.2}","{'amount': 642, 'percentage': 15.3}",חודש אחרון,5
80-89,"{'amount': 2884, 'percentage': 10.6}","{'amount': 2956, 'percentage': 10.8}",מתחילת קורונה,1
90+,"{'amount': 485, 'percentage': 3.7}","{'amount': 743, 'percentage': 5.6}",שנה,2
90+,"{'amount': 378, 'percentage': 4.2}","{'amount': 572, 'percentage': 6.4}",6 חודשים,3
90+,"{'amount': 251, 'percentage': 6}","{'amount': 337, 'percentage': 8.1}",חודש אחרון,5
90+,"{'amount': 964, 'percentage': 3.5}","{'amount': 1446, 'percentage': 5.3}",מתחילת קורונה,1
90+,"{'amount': 295, 'percentage': 5.7}","{'amount': 409, 'percentage': 8}",3 חודשים,4
